property_type,price,bedRoom,bathroom,balcony,agePossession,sector,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,3.8,4.0,5,3,Moderately Old,sector 60,2791.0,1,0,2,Medium,High Floor
flat,1.77,3.0,3,3,Relatively New,sector 102,1644.0,0,0,0,High,Low Floor
house,3.2,3.0,4,3,New Property,sector 82,2160.0,1,1,0,Medium,Low Floor
flat,0.4,2.0,2,1,Relatively New,sector 104,512.0,0,0,0,Medium,Mid Floor
flat,2.15,3.0,4,3,Relatively New,sector 109,1886.0,1,0,0,Medium,Mid Floor
flat,0.8,2.0,2,0,Relatively New,sector 103,1450.0,0,0,0,Medium,Mid Floor
flat,1.05,3.0,3,3,Relatively New,sector 37c,1728.0,0,0,2,Medium,Mid Floor
flat,0.65,3.0,2,2,New Property,sector 104,848.0,0,0,0,Medium,Mid Floor
flat,1.17,3.0,4,3+,Relatively New,sector 106,1186.0,1,0,0,Low,High Floor
flat,0.84,3.0,3,3+,New Property,sector 84,1553.0,0,0,0,Medium,Mid Floor
flat,5.0,4.0,4,3+,New Property,sector 72,4000.0,1,1,2,High,Low Floor
house,0.74,3.0,3,0,Moderately Old,sector 105,1000.0,0,0,0,Low,Low Floor
flat,2.28,4.0,5,3+,Relatively New,sector 108,2501.0,0,0,0,Medium,Mid Floor
house,0.4,2.0,2,1,Relatively New,sector 110,583.0,0,0,0,Low,Low Floor
house,1.25,2.0,5,1,New Property,sector 6,120.0,0,0,0,Low,Low Floor
flat,1.2,3.0,2,2,Relatively New,sector 109,1692.0,0,0,0,High,Mid Floor
flat,1.87,3.0,3,3,Moderately Old,sector 82,1664.0,0,0,0,Low,High Floor
house,0.4,4.0,2,2,Moderately Old,sector 6,1600.0,0,0,0,Low,Low Floor
house,5.65,8.0,6,3+,Moderately Old,sector 46,2367.0,1,0,2,Medium,Mid Floor
house,3.75,6.0,6,3+,Moderately Old,sector 49,1467.0,0,0,2,Low,Mid Floor
house,3.69,4.0,4,2,Moderately Old,sector 31,1557.0,1,0,2,Medium,Low Floor
flat,1.5,3.0,3,3+,Relatively New,sector 86,1780.0,0,0,0,High,High Floor
house,0.75,3.0,5,3,Moderately Old,sector 7,600.0,0,0,0,Low,Mid Floor
house,1.5,2.0,3,2,New Property,sohna,1053.0,0,0,2,Medium,Low Floor
house,2.25,10.0,10,2,Old Property,sector 13,400.0,0,0,0,Low,Low Floor
house,2.25,3.0,3,3,New Property,sector 52,1800.0,1,0,2,Low,Mid Floor
flat,0.92,2.0,2,3+,Under Construction,sector 99,1229.0,0,0,0,Medium,High Floor
house,1.45,4.0,4,2,Old Property,sector 15,130.0,0,0,0,Low,Low Floor
flat,0.85,3.0,2,2,Relatively New,sector 92,1261.0,0,0,0,Low,High Floor
flat,0.5,2.0,2,2,Under Construction,sector 90,796.0,0,0,0,Low,Low Floor
flat,1.2,3.0,4,2,Relatively New,sector 85,1650.0,1,0,0,Low,Mid Floor
house,6.25,5.0,5,3,Moderately Old,sector 25,1800.0,1,0,2,Medium,Low Floor
flat,1.71,3.0,3,3+,Moderately Old,sector 56,2251.0,1,0,2,Medium,Mid Floor
house,0.55,2.0,1,0,Old Property,sector 5,1100.0,0,0,0,Low,Low Floor
house,5.5,8.0,7,3+,Moderately Old,sector 43,2850.0,1,0,2,Medium,Mid Floor
flat,2.78,3.0,4,3+,Relatively New,sector 113,2350.0,1,0,0,High,Mid Floor
flat,0.86,2.0,3,2,New Property,sector 89,1226.0,1,0,2,Medium,Mid Floor
house,3.2,3.0,3,2,Old Property,sector 4,2250.0,0,0,0,Low,Low Floor
flat,1.85,3.0,3,3,New Property,sector 79,1650.0,1,0,0,Medium,Mid Floor
flat,3.5,4.0,5,3+,Relatively New,sector 81,2570.0,1,0,1,High,Mid Floor
flat,0.8,3.0,2,2,Moderately Old,sector 78,1472.0,0,0,0,Medium,Mid Floor
flat,0.8,3.0,3,3,Relatively New,sector 92,1692.0,0,0,2,Medium,Mid Floor
flat,1.55,3.0,3,3,Moderately Old,sector 54,1900.0,1,0,2,Medium,Mid Floor
house,2.8,4.0,4,0,Old Property,sector 55,1500.0,0,0,0,Low,Low Floor
flat,0.42,3.0,2,1,Moderately Old,sector 105,833.0,0,0,0,Low,Low Floor
flat,1.02,4.0,4,3+,Relatively New,sector 84,1886.0,1,0,0,Medium,High Floor
flat,1.99,4.0,4,3+,Old Property,sector 56,2000.0,0,0,2,Medium,Mid Floor
house,5.25,4.0,4,3+,Relatively New,sector 24,1350.0,1,0,2,Medium,Low Floor
house,5.75,4.0,4,2,Old Property,c block sushant lok phase 1,1935.0,1,1,0,Low,Low Floor
flat,1.19,2.0,3,1,Relatively New,sector 69,1500.0,0,0,2,High,Low Floor
house,0.9,1.0,5,3,New Property,sector 10,250.0,0,0,0,Low,Mid Floor
flat,1.13,3.0,3,3+,Relatively New,sector 90,1557.0,0,0,0,Medium,Mid Floor
house,0.45,3.0,2,1,Old Property,sector 7,900.0,0,0,0,Low,Low Floor
flat,1.3,2.0,2,3,Relatively New,sector 102,1009.0,0,1,0,Medium,Low Floor
house,2.5,7.0,7,3,Relatively New,sector 43,963.0,0,0,1,Low,Mid Floor
flat,4.0,4.0,5,3+,Relatively New,sector 81,3780.0,1,0,2,Medium,High Floor
flat,1.36,3.0,3,1,Relatively New,sector 69,1384.0,0,0,0,Medium,High Floor
flat,1.69,3.0,3,3,Moderately Old,sector 49,2178.0,0,0,0,Medium,Mid Floor
flat,1.62,3.0,5,3,Relatively New,sector 70,1523.0,1,0,0,Low,Mid Floor
flat,2.78,3.0,3,3,New Property,sector 113,2599.0,1,0,0,High,Mid Floor
flat,1.2,3.0,4,2,Relatively New,sector 1a,1661.0,1,0,0,Low,Mid Floor
house,1.5,7.0,2,0,Moderately Old,sector 3,1980.0,0,0,0,Low,Low Floor
flat,1.0,2.0,2,2,Relatively New,sector 108,2060.0,0,0,0,Low,Low Floor
house,4.5,6.0,6,3+,Moderately Old,sector 46,1845.0,0,1,2,Medium,Mid Floor
flat,1.5,3.0,3,2,Relatively New,sector 69,1488.0,0,0,2,High,Mid Floor
flat,1.7,2.0,2,2,Under Construction,sector 61,1244.0,0,0,0,Medium,Mid Floor
house,10.55,5.0,5,3,Moderately Old,sector 50,3240.0,1,0,0,Low,Low Floor
flat,1.6,3.0,3,3,New Property,sector 89,1764.0,0,0,0,Medium,Mid Floor
flat,0.9,2.0,2,3,Relatively New,sector 107,1277.0,0,0,2,Medium,Mid Floor
flat,1.05,2.0,2,2,New Property,sector 106,1539.0,0,0,0,Medium,Mid Floor
flat,3.05,3.0,4,2,Relatively New,sector 67,2200.0,1,0,2,High,High Floor
flat,2.26,3.0,4,3+,New Property,sector 81,1890.0,1,0,1,High,High Floor
house,7.69,4.0,5,3,Moderately Old,sector 48,3195.0,1,1,2,Medium,Low Floor
flat,0.8,1.0,1,1,Moderately Old,sector 49,720.0,0,0,0,Low,Low Floor
flat,2.1,4.0,5,3+,Relatively New,sector 85,2531.0,0,0,2,Medium,Mid Floor
flat,6.75,4.0,4,2,New Property,sector 59,2558.0,1,0,0,Low,Mid Floor
flat,1.25,4.0,3,3,Old Property,sector 9,2007.0,1,0,0,Low,Low Floor
