property_type,price,bedRoom,bathroom,balcony,agePossession,sector,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
house,11.0,4.0,4,2,New Property,sector 41,3240.0,1,0,0,Low,Mid Floor
house,5.6,6.0,4,3,Old Property,sector 55,2700.0,1,0,2,Low,Mid Floor
flat,0.5,2.0,2,2,New Property,sector 107,622.0,0,0,0,Low,High Floor
flat,0.33,2.0,2,0,Relatively New,sector 11,761.0,0,0,0,Low,High Floor
flat,1.08,3.0,3,3,Relatively New,sector 37,1700.0,0,0,0,High,Mid Floor
flat,2.5,2.0,3,2,Relatively New,sector 60,1395.0,0,0,0,Medium,Mid Floor
flat,0.4,2.0,2,1,New Property,sector 90,574.0,0,0,0,Low,Mid Floor
flat,0.96,2.0,2,2,Relatively New,sector 102,824.0,0,0,0,Medium,Mid Floor
flat,0.85,3.0,4,3,Relatively New,sector 90,1674.0,1,1,0,Medium,Mid Floor
house,4.5,3.0,3,2,Old Property,sector 26,1350.0,0,0,2,Medium,Low Floor
house,2.9,4.0,4,3,Relatively New,sector 23,2500.0,1,0,2,Low,Low Floor
house,11.5,5.0,6,0,Moderately Old,sector 50,3240.0,0,0,0,Low,Low Floor
flat,0.9,3.0,3,3,Relatively New,sector 84,1643.0,0,0,0,Medium,High Floor
flat,2.2,4.0,5,3+,Relatively New,sector 85,2531.0,0,0,0,Medium,Mid Floor
house,7.25,8.0,8,3+,Moderately Old,sector 56,2471.0,0,0,2,Low,Low Floor
flat,3.25,3.0,3,3,New Property,sector 63,2700.0,0,0,0,Low,Mid Floor
flat,1.08,3.0,4,3+,Relatively New,sector 77,1800.0,1,0,2,High,Mid Floor
flat,1.1,2.0,2,2,Relatively New,sector 33,1275.0,0,0,0,Low,Mid Floor
flat,2.2,3.0,4,3,Relatively New,sector 109,1860.0,1,0,0,High,High Floor
flat,3.85,5.0,6,3+,New Property,sector 82,5711.0,1,0,0,Medium,Mid Floor
flat,1.15,2.0,2,3,Relatively New,sector 70,1215.0,0,0,0,Low,Mid Floor
house,2.0,9.0,9,3,Relatively New,sector 54,60.0,1,0,1,Low,High Floor
flat,1.85,3.0,3,3,Moderately Old,sector 82,1673.0,0,0,0,Low,High Floor
flat,1.45,3.0,4,2,Relatively New,sector 93,1350.0,0,0,2,Medium,High Floor
house,6.8,4.0,4,3+,Old Property,sector 50,2160.0,1,0,0,Medium,Low Floor
flat,0.6,2.0,2,1,Old Property,sector 4,900.0,0,0,0,Low,Low Floor
flat,0.5,3.0,2,2,Relatively New,sector 107,717.0,0,0,0,Low,Mid Floor
house,2.55,3.0,3,2,Relatively New,a block sushant lok phase 1,1935.0,0,0,2,Medium,Mid Floor
flat,1.68,3.0,3,3,Relatively New,sector 109,1571.0,0,0,0,Medium,Mid Floor
flat,1.64,3.0,3,3+,New Property,sector 70,1950.0,1,0,0,Medium,Mid Floor
flat,1.85,2.0,2,2,New Property,sector 61,1389.0,0,0,0,Low,Mid Floor
house,3.5,4.0,3,3,Moderately Old,sector 31,1449.0,0,1,2,Medium,Low Floor
flat,0.35,2.0,2,1,Relatively New,sector 37c,850.0,0,0,2,High,Mid Floor
flat,1.1,3.0,3,3,Moderately Old,sector 10,1833.0,0,0,0,Low,Low Floor
flat,0.5,2.0,2,1,Under Construction,sector 76,844.0,0,0,0,Medium,Mid Floor
flat,4.79,5.0,5,3+,Relatively New,sector 49,3704.0,1,0,0,Low,High Floor
flat,2.17,4.0,4,3,Relatively New,sector 85,2600.0,1,0,0,Low,Mid Floor
house,4.3,6.0,4,2,Moderately Old,sector 47,1467.0,0,0,0,Low,Low Floor
flat,1.76,3.0,4,2,Relatively New,sector 69,1665.0,0,0,0,High,Low Floor
flat,2.8,4.0,4,3,Relatively New,sector 65,1650.0,0,0,2,Medium,Low Floor
flat,1.1,3.0,3,3,Relatively New,sector 83,1562.0,1,0,2,Medium,High Floor
flat,1.12,3.0,4,3+,New Property,sector 103,1729.0,1,0,0,Low,Mid Floor
flat,0.4,2.0,2,2,Relatively New,sector 6,900.0,0,0,0,Low,Low Floor
flat,1.55,3.0,3,3+,Moderately Old,sector 56,1900.0,1,0,2,Medium,Mid Floor
flat,1.33,3.0,3,3,Under Construction,sector 89,1423.0,0,0,0,Medium,Mid Floor
flat,8.5,4.0,4,3,Moderately Old,sector 50,11111.0,1,0,0,Low,Mid Floor
house,0.38,2.0,2,2,Moderately Old,sector 105,56.0,0,0,0,Low,Low Floor
flat,3.4,4.0,4,3+,Relatively New,sector 66,2210.0,1,0,2,High,Low Floor
flat,3.45,3.0,4,3,Relatively New,sector 66,2000.0,1,0,2,Medium,Mid Floor
house,11.0,5.0,5,3+,Relatively New,sector 25,3096.0,1,1,0,Low,Low Floor
flat,0.56,3.0,1,3,Moderately Old,sector 92,1316.0,0,0,2,Medium,Low Floor
flat,2.14,4.0,6,3+,Relatively New,sector 103,2711.0,1,0,0,Medium,Mid Floor
house,0.65,3.0,3,2,Old Property,sector 10,45.0,0,0,0,Low,Mid Floor
house,5.15,5.0,7,3,Moderately Old,sector 48,2727.0,1,0,2,Medium,Low Floor
flat,1.85,3.0,3,3+,New Property,sector 89,1935.0,1,0,0,Low,High Floor
flat,1.93,3.0,4,3,Relatively New,sector 85,2400.0,1,0,0,High,Mid Floor
flat,2.8,3.0,3,3,Under Construction,sector 65,1867.0,0,0,0,Medium,High Floor
flat,2.52,4.0,4,3+,Relatively New,sector 104,2800.0,1,1,2,High,High Floor
flat,0.99,3.0,3,1,New Property,sector 37c,1634.0,1,0,0,Low,Mid Floor
flat,7.0,4.0,6,3+,Moderately Old,sector 54,2700.0,1,1,2,Medium,High Floor
house,1.5,2.0,2,2,Old Property,sector 13,1426.0,0,0,0,Low,Mid Floor
flat,4.1,4.0,5,3+,New Property,sector 72,2615.0,1,0,0,Medium,High Floor
flat,0.62,1.0,1,0,Relatively New,sector 82,650.0,0,0,0,Low,Mid Floor
flat,1.0,2.0,2,3,Relatively New,sector 88a,1611.0,0,0,0,Medium,Mid Floor
flat,0.35,2.0,2,1,Relatively New,sector 99a,606.0,0,0,0,Medium,Mid Floor
flat,3.55,5.0,6,3+,Moderately Old,sector 51,5200.0,1,1,2,High,High Floor
flat,0.94,2.0,2,3+,Relatively New,sector 82,1292.0,0,0,2,Medium,Mid Floor
house,0.95,3.0,10,3+,New Property,sector 47,1065.0,0,0,0,Low,Mid Floor
flat,2.01,3.0,4,3+,Relatively New,sector 79,2130.0,1,0,0,High,Mid Floor
flat,3.25,4.0,4,3+,Old Property,sector 33,4809.0,1,0,2,Medium,High Floor
flat,1.5,2.0,2,2,Under Construction,sector 61,1333.0,0,0,0,Low,Low Floor
flat,1.44,3.0,3,2,Relatively New,sector 69,1377.0,0,0,0,High,Low Floor
flat,0.26,1.0,1,1,New Property,sector 95,405.0,0,0,0,Low,Mid Floor
flat,1.65,3.0,3,2,Relatively New,sector 70,2167.0,0,0,0,Medium,Mid Floor
flat,1.2,3.0,3,3,Relatively New,sector 77,1822.0,0,0,0,Low,High Floor
flat,1.1,2.0,2,2,Relatively New,sector 70,1444.0,0,0,0,Medium,Mid Floor
house,5.2,4.0,5,2,Old Property,sector 2,5200.0,0,0,0,Low,Low Floor
flat,1.4,3.0,3,2,Relatively New,sector 69,1420.0,0,0,0,Medium,Low Floor
house,2.1,4.0,3,0,Old Property,sector 10,2504.0,0,0,0,Low,Low Floor
flat,1.8,3.0,3,3,Under Construction,sector 69,1893.0,0,0,0,Low,High Floor
flat,1.7,3.0,2,3,Relatively New,sector 79,1570.0,0,0,0,Low,Mid Floor
house,9.9,5.0,5,2,Moderately Old,sector 25,3375.0,0,0,2,Medium,Low Floor
flat,1.62,3.0,3,3,Relatively New,sector 70,1523.0,1,0,0,Medium,Mid Floor
house,5.0,6.0,6,2,Old Property,sector 2,3611.0,0,0,0,Low,Low Floor
flat,1.99,4.0,4,3+,Relatively New,sector 90,3030.0,1,0,2,Medium,Mid Floor
house,12.5,5.0,5,3+,Old Property,sector 26,3240.0,1,1,2,Medium,Low Floor
flat,1.1,3.0,3,3+,Old Property,sector 78,2176.0,1,0,0,Medium,Mid Floor
flat,1.2,2.0,2,2,Relatively New,sector 85,1190.0,1,1,0,Medium,Mid Floor
house,1.4,2.0,2,1,Relatively New,sector 10,1700.0,0,0,0,Low,Mid Floor
flat,1.34,2.0,2,3+,New Property,sector 70,1174.0,0,0,2,Medium,High Floor
flat,1.1,3.0,2,3,Relatively New,sector 92,2350.0,0,0,0,Low,Low Floor
flat,1.3,2.0,2,3,Under Construction,sector 85,1127.0,0,0,0,Medium,High Floor
flat,0.64,2.0,2,3,Relatively New,sector 81,1361.0,0,0,2,Medium,High Floor
house,2.15,3.0,3,3,Moderately Old,sector 40,900.0,0,1,0,Low,Mid Floor
flat,1.8,3.0,3,3,Relatively New,sector 83,1544.0,1,0,2,Medium,Mid Floor
flat,2.15,3.0,4,3,Relatively New,sector 102,1934.0,1,0,0,Medium,High Floor
flat,0.7,2.0,2,3,New Property,sector 90,1170.0,0,0,0,Low,High Floor
flat,3.3,4.0,5,3+,Relatively New,sector 81,3062.0,1,0,2,High,Mid Floor
flat,1.8,4.0,4,3+,Moderately Old,sector 47,2850.0,0,1,2,Medium,Mid Floor
flat,2.6,4.0,4,3+,Relatively New,sector 104,3057.0,1,0,2,High,High Floor
house,0.55,1.0,1,0,Moderately Old,sector 3,750.0,0,0,0,Low,Low Floor
house,0.6,1.0,1,0,Moderately Old,sector 3,1000.0,0,0,0,Low,Low Floor
flat,0.4,1.0,1,1,Relatively New,sector 83,520.0,0,0,1,Medium,Mid Floor
flat,1.2,3.0,2,1,Under Construction,sector 37,1900.0,1,0,0,Medium,Mid Floor
flat,1.2,3.0,3,3,Under Construction,sector 89,1064.0,0,1,0,Medium,Mid Floor
flat,0.78,2.0,2,3+,New Property,sector 79,1166.0,0,0,0,Medium,Low Floor
house,11.75,4.0,5,3+,Relatively New,sector 28,2844.0,1,1,2,Medium,Mid Floor
flat,0.47,2.0,2,1,New Property,sector 90,767.0,0,0,0,Low,Low Floor
flat,1.2,2.0,2,3,Relatively New,sector 84,1449.0,0,0,2,Medium,Mid Floor
flat,1.21,3.0,3,3,Moderately Old,sector 107,1708.0,0,0,2,Medium,Mid Floor
flat,1.95,3.0,3,3,Relatively New,sector 102,1667.0,0,0,0,Medium,Mid Floor
flat,0.41,2.0,2,2,New Property,sector 95a,670.0,0,0,2,Medium,High Floor
flat,3.6,4.0,5,3,Moderately Old,sector 49,3356.0,1,0,1,Low,Mid Floor
house,0.61,2.0,2,2,Moderately Old,sector 105,61.0,0,0,0,Low,Low Floor
flat,5.0,4.0,4,3+,Relatively New,sector 59,4254.0,1,1,2,High,High Floor
flat,1.8,4.0,4,3+,Moderately Old,sector 90,1994.0,0,0,0,Low,Mid Floor
flat,1.5,2.0,2,2,New Property,sector 113,1418.0,0,0,0,Medium,High Floor
flat,0.75,2.0,2,2,Moderately Old,sector 69,1100.0,0,0,0,Low,Mid Floor
house,0.92,2.0,3,3+,New Property,sector 70,1319.0,0,0,0,High,Mid Floor
flat,3.5,3.0,4,3,Under Construction,sector 76,2937.0,0,0,0,Low,Mid Floor
flat,0.28,2.0,2,2,Relatively New,sector 107,543.0,0,0,0,Low,High Floor
flat,1.38,4.0,5,3+,Relatively New,sector 82,2282.0,1,0,0,Medium,High Floor
house,0.75,2.0,4,1,Moderately Old,sector 6,713.0,0,0,0,Medium,Mid Floor
flat,1.01,2.0,2,3,Relatively New,sector 103,1335.0,0,1,2,High,Mid Floor
flat,4.6,3.0,3,3,Relatively New,sector 66,2874.0,1,1,0,Medium,High Floor
flat,1.3,2.0,2,2,Relatively New,sector 67,1296.0,0,0,0,Medium,Low Floor
flat,2.12,3.0,3,3,New Property,sector 102,1567.0,0,0,0,Medium,Mid Floor
house,3.99,4.0,5,3+,New Property,sector 50,4500.0,1,0,2,Medium,Mid Floor
flat,0.5,2.0,2,1,New Property,sector 81,704.0,0,0,1,Medium,High Floor
flat,0.72,3.0,2,3,Under Construction,sector 36,973.0,0,0,0,Low,Mid Floor
house,4.6,7.0,6,3+,Moderately Old,sector 47,1728.0,0,0,1,Medium,Mid Floor
flat,0.71,2.0,2,3+,New Property,sector 79,1277.0,0,0,0,Medium,High Floor
flat,0.23,1.0,1,1,Relatively New,sector 103,400.0,0,0,0,Low,Mid Floor
flat,1.3,3.0,3,3+,Relatively New,sector 107,1554.0,0,0,2,High,Mid Floor
flat,1.9,3.0,3,3+,Relatively New,sector 102,2099.0,0,1,0,Low,Mid Floor
flat,1.52,2.0,2,3,Relatively New,sector 74,1250.0,0,1,0,High,Mid Floor
flat,1.1,2.0,2,2,New Property,sector 89,1226.0,0,1,0,Medium,Mid Floor
flat,0.85,2.0,2,2,Relatively New,sector 82,1287.0,0,0,0,Medium,Mid Floor
flat,2.36,3.0,3,3,Relatively New,sector 65,1485.0,1,0,2,High,Low Floor
flat,1.28,3.0,3,3,Relatively New,sector 79,1355.0,0,0,0,High,Mid Floor
house,5.6,5.0,4,3+,New Property,sector 106,4000.0,1,1,0,High,High Floor
flat,0.45,2.0,2,2,New Property,sector 95a,571.0,0,0,0,Low,High Floor
house,5.8,4.0,4,3+,Old Property,sector 26,4518.0,0,0,0,Low,Mid Floor
flat,0.45,1.0,1,1,Relatively New,sector 36a,450.0,0,0,0,Low,Mid Floor
house,0.71,2.0,2,1,New Property,sector 14,700.0,0,0,0,Low,Low Floor
flat,1.4,3.0,3,3,Relatively New,sector 77,1735.0,0,0,0,Low,Mid Floor
flat,5.0,3.0,4,3,Moderately Old,sector 48,4778.0,0,0,0,Medium,High Floor
house,3.65,3.0,9,3+,New Property,sector 2,1557.0,1,0,2,Medium,Mid Floor
flat,2.0,3.0,3,3,New Property,sector 67,1575.0,0,0,0,Low,High Floor
house,2.1,2.0,6,3+,Relatively New,laxmi garden,1215.0,0,0,0,Low,Mid Floor
house,1.95,3.0,4,3+,New Property,sector 43,1935.0,1,0,2,Medium,Mid Floor
flat,1.0,1.0,1,1,Moderately Old,sector 71,869.0,0,0,0,Medium,Mid Floor
flat,2.5,3.0,3,3+,Relatively New,sector 70,1718.0,0,0,2,High,High Floor
house,7.5,3.0,3,2,Moderately Old,sector 50,2160.0,1,0,2,Medium,Low Floor
house,0.4,1.0,1,0,Moderately Old,sector 4,450.0,0,0,0,Low,Low Floor
flat,1.72,3.0,4,3+,Relatively New,sector 79,1690.0,1,0,0,High,Mid Floor
house,3.75,4.0,4,3,Moderately Old,sector 54,1440.0,1,0,2,Low,Mid Floor
house,1.2,2.0,4,2,Old Property,sector 7,1072.0,0,0,0,Low,Mid Floor
flat,0.95,3.0,4,3,Moderately Old,sector 1,2226.0,1,0,0,Medium,Mid Floor
flat,0.9,2.0,2,0,Relatively New,sector 79,1295.0,0,0,0,Low,High Floor
flat,0.8,2.0,2,3,Relatively New,sector 82,1383.0,0,0,0,Low,Mid Floor
flat,1.55,4.0,4,3+,Relatively New,sector 90,2128.0,1,0,0,Medium,Low Floor
flat,2.78,3.0,3,3,Relatively New,sector 65,1829.0,0,0,0,Medium,High Floor
flat,0.5,2.0,2,1,New Property,sector 90,648.0,0,0,0,Low,Mid Floor
flat,1.55,4.0,4,3+,Moderately Old,sector 86,2033.0,1,0,2,Medium,High Floor
house,2.95,4.0,3,2,New Property,sector 69,1800.0,0,0,1,Medium,Mid Floor
flat,4.6,3.0,3,3,New Property,sector 65,1717.0,1,1,0,Medium,Mid Floor
flat,1.13,2.0,2,3,Relatively New,sector 68,1130.0,0,0,2,Medium,Mid Floor
flat,5.6,4.0,6,3+,Relatively New,sector 112,3655.35,1,0,2,High,Mid Floor
flat,1.45,3.0,3,3,Relatively New,sector 81,1650.0,0,0,2,Medium,Mid Floor
flat,1.43,3.0,3,3+,Relatively New,sector 37c,1840.0,1,0,0,Low,Low Floor
house,6.0,3.0,5,3+,Old Property,sector 26,1800.0,0,0,2,Low,Mid Floor
flat,1.4,3.0,3,2,Relatively New,sector 69,1420.0,0,0,0,Medium,High Floor
flat,3.4,3.0,4,3,Relatively New,sector 67,2010.0,1,0,2,High,High Floor
flat,2.25,3.0,4,3+,Relatively New,sector 81,2090.0,1,0,1,High,High Floor
flat,1.7,4.0,4,2,Relatively New,sector 69,1809.0,0,0,0,Medium,Mid Floor
flat,1.22,2.0,2,3,Relatively New,sector 85,1300.0,0,1,0,Medium,High Floor
flat,0.55,2.0,2,2,Under Construction,sector 76,823.0,0,0,0,Low,Mid Floor
house,4.75,3.0,3,3,Moderately Old,sector 57,1650.0,0,1,2,Medium,Low Floor
flat,0.74,2.0,2,1,Under Construction,sector 86,1224.0,0,0,0,Low,High Floor
flat,2.8,3.0,3,3,Relatively New,sector 67,2048.0,0,1,1,High,Low Floor
house,1.5,3.0,3,0,Old Property,sector 3,210.0,0,0,0,Low,Low Floor
house,1.16,2.0,4,2,Moderately Old,sector 7,1102.0,0,0,0,Low,Mid Floor
flat,1.25,3.0,4,2,Relatively New,sector 93,1350.0,0,0,2,Medium,High Floor
flat,2.8,3.0,3,2,Relatively New,sector 65,1650.0,1,0,0,Medium,Mid Floor
flat,0.21,1.0,1,0,Relatively New,sector 6,484.0,0,0,0,Low,Low Floor
flat,0.4,1.0,1,1,Relatively New,sector 36a,436.0,0,0,0,Low,Mid Floor
house,19.0,5.0,6,3+,Relatively New,sector 66,6667.0,1,1,2,Medium,Mid Floor
flat,1.25,3.0,4,2,Relatively New,sector 85,1616.0,1,0,2,Low,Mid Floor
flat,2.5,3.0,3,3,Moderately Old,sector 57,2025.0,0,0,0,Medium,Mid Floor
flat,1.32,4.0,5,3+,Relatively New,sector 106,1535.0,1,0,0,Low,High Floor
flat,0.5,2.0,2,1,Relatively New,sector 107,491.0,0,0,0,Medium,High Floor
flat,1.11,2.0,2,3,Relatively New,sector 85,1630.0,0,1,0,High,Mid Floor
house,12.0,5.0,5,3+,New Property,sector 66,3240.0,1,1,2,Medium,Mid Floor
flat,2.1,3.0,4,3+,Relatively New,sector 85,2020.0,1,0,0,High,Mid Floor
house,10.45,5.0,7,3+,Moderately Old,sector 50,3240.0,1,0,2,High,Mid Floor
flat,1.85,4.0,4,0,Relatively New,sector 67,2556.0,0,0,0,Low,Mid Floor
flat,0.9,2.0,2,2,New Property,sector 89,1105.0,0,0,0,Low,Low Floor
house,2.0,5.0,5,2,Old Property,sector 12,1350.0,0,0,0,Low,Mid Floor
flat,0.65,1.0,1,0,Relatively New,sector 83,700.0,0,0,0,Low,Mid Floor
flat,1.15,3.0,2,3,Relatively New,sector 83,1580.0,0,0,0,Low,High Floor
flat,1.49,4.0,5,3+,Relatively New,sector 85,2017.0,1,0,2,Medium,Mid Floor
flat,0.8,3.0,3,3,Relatively New,sector 108,1654.0,0,0,0,High,Mid Floor
flat,1.65,4.0,5,3+,Relatively New,sector 107,2491.0,1,0,0,Low,High Floor
flat,1.1,3.0,3,2,Under Construction,sector 37,1439.0,0,0,0,Low,Low Floor
house,2.58,4.0,2,2,Relatively New,sector 28,1458.0,0,0,0,Low,Low Floor
flat,1.4,4.0,5,3,Relatively New,sector 37c,2337.0,1,0,0,Low,Mid Floor
flat,0.53,2.0,2,1,Relatively New,sector 67,657.0,0,0,2,Low,Mid Floor
flat,0.85,3.0,3,0,Relatively New,sector 92,1415.0,0,0,0,Medium,Low Floor
house,9.85,5.0,5,2,Old Property,a block sushant lok phase 1,3323.0,1,0,0,Low,Mid Floor
house,19.5,8.0,9,3+,New Property,sector 2,7200.0,1,0,0,Medium,Low Floor
flat,2.0,3.0,3,2,Under Construction,sector 67,1342.0,0,0,0,Low,Mid Floor
flat,2.33,3.0,3,3,Relatively New,sector 108,1711.0,0,1,2,High,High Floor
flat,2.22,3.0,3,3,Relatively New,sector 109,1886.0,1,0,0,Medium,High Floor
flat,0.75,2.0,2,3+,Relatively New,sector 37c,1430.0,0,0,0,Medium,High Floor
flat,1.7,3.0,3,3+,Under Construction,sector 89,1944.0,0,0,0,Medium,Mid Floor
flat,1.6,3.0,5,3,Relatively New,sector 70,2167.0,1,0,0,High,Mid Floor
flat,1.18,4.0,4,3,Relatively New,sector 92,2518.0,1,0,0,Medium,Mid Floor
flat,1.55,4.0,4,3,Moderately Old,sector 52,2100.0,0,0,0,Low,Low Floor
flat,0.97,2.0,2,2,New Property,sector 89,1371.0,0,0,0,Low,Low Floor
house,0.8,2.0,4,1,Moderately Old,sector 3,981.0,0,0,0,Low,Low Floor
house,1.85,4.0,3,2,Moderately Old,sector 1,1284.0,0,0,0,Low,Mid Floor
flat,2.22,3.0,4,3+,Relatively New,sector 81,2394.0,1,0,2,High,High Floor
flat,0.78,2.0,2,2,New Property,sector 86,1360.0,0,0,0,Medium,Mid Floor
flat,1.9,3.0,4,3+,Relatively New,sector 103,3716.0,1,0,2,Low,Mid Floor
flat,1.48,3.0,3,3,Relatively New,sector 83,1544.0,1,0,0,Medium,Mid Floor
flat,1.38,3.0,3,1,Moderately Old,sector 109,2419.0,0,0,0,Low,Mid Floor
flat,2.25,3.0,4,3,Relatively New,sector 109,2327.0,1,0,0,Medium,High Floor
flat,1.5,3.0,3,3,Relatively New,sector 77,1306.0,0,0,2,Medium,Mid Floor
flat,2.69,3.0,4,3+,New Property,sector 79,2152.0,1,0,0,Low,Mid Floor
flat,0.86,3.0,3,2,New Property,sector 37c,1584.0,0,0,0,Low,Low Floor
house,0.99,1.0,4,3,Relatively New,sector 47,576.0,0,0,0,Low,Mid Floor
flat,4.7,3.0,3,3+,Relatively New,sector 65,2380.0,1,0,2,Low,Mid Floor
flat,1.78,3.0,4,3+,New Property,sector 85,2167.0,0,1,0,Medium,Mid Floor
house,5.75,4.0,4,2,Relatively New,sector 109,4800.0,1,0,0,Medium,Mid Floor
house,0.4,1.0,1,1,Moderately Old,sector 4,432.0,0,0,0,Low,Low Floor
flat,3.75,3.0,5,3+,Relatively New,sector 112,2522.0,1,0,2,Low,High Floor
flat,3.65,3.0,3,2,New Property,sector 36a,2284.0,0,0,0,Low,High Floor
house,1.2,3.0,2,1,Old Property,sector 105,1185.51,0,0,0,Low,Low Floor
flat,2.4,2.0,2,2,Relatively New,sector 22,1200.0,0,0,1,Medium,Mid Floor
flat,1.05,3.0,3,3,Under Construction,sector 86,1706.0,1,0,0,Low,Mid Floor
flat,1.8,4.0,3,3,Relatively New,sector 37,2019.0,1,0,0,Low,High Floor
house,0.9,2.0,5,3,Relatively New,sector 11,800.0,0,0,0,Low,Mid Floor
flat,2.2,3.0,4,3+,Moderately Old,sector 63,1545.0,0,0,2,Medium,Mid Floor
flat,1.25,2.0,2,3,Relatively New,sector 85,1730.0,0,0,0,Low,Mid Floor
flat,2.6,3.0,3,2,Relatively New,sector 108,1711.0,0,0,0,Medium,Mid Floor
flat,2.4,3.0,4,3+,New Property,sector 81,2394.0,1,0,2,High,Mid Floor
flat,0.7,2.0,2,2,Relatively New,sector 112,1498.0,0,0,0,Medium,Mid Floor
house,10.5,5.0,6,3+,New Property,sector 28,3240.0,1,0,2,High,Mid Floor
house,0.8,2.0,3,1,Moderately Old,sector 4,675.0,0,0,0,Low,Low Floor
flat,1.7,4.0,3,3,Relatively New,sector 70,2111.0,0,0,2,Low,Low Floor
flat,1.9,3.0,3,2,Under Construction,sector 76,1505.0,0,0,0,Medium,Low Floor
flat,1.78,3.0,3,3+,Relatively New,sector 68,1845.0,0,0,2,Medium,High Floor
house,10.0,4.0,4,3+,Moderately Old,sector 1,7362.0,1,0,0,Low,Low Floor
flat,0.8,4.0,4,3,Moderately Old,sector 92,1893.0,0,0,0,Medium,Low Floor
flat,0.55,2.0,2,3,New Property,sector 37,610.0,0,0,0,Medium,Mid Floor
flat,1.65,3.0,5,3,Relatively New,sector 70,1523.0,1,0,0,High,Mid Floor
house,9.0,5.0,5,3,Old Property,sector 25,2700.0,1,1,0,Medium,Mid Floor
house,3.5,2.0,4,3,Old Property,sector 24,1080.0,0,0,0,Low,Mid Floor
flat,0.6,2.0,2,2,Relatively New,sector 83,990.0,0,0,2,High,Low Floor
flat,0.95,2.0,2,2,Relatively New,sector 102,915.0,0,0,0,Low,High Floor
flat,2.2,2.0,2,2,New Property,sector 36a,1331.0,0,0,0,Low,High Floor
flat,0.9,2.0,2,0,Relatively New,sector 104,1259.0,0,0,0,Low,High Floor
flat,1.15,3.0,3,3+,Under Construction,sector 79,1200.0,0,0,0,Medium,Low Floor
flat,0.87,3.0,2,3,New Property,sector 36,1210.0,0,0,0,Medium,Mid Floor
house,4.0,4.0,9,3+,Relatively New,sector 38,4800.0,0,1,2,High,Low Floor
flat,0.65,3.0,3,3,Moderately Old,sector 92,1571.0,0,0,0,Low,Mid Floor
house,17.3,6.0,7,3+,New Property,sector 26,4518.0,1,1,2,Medium,Mid Floor
house,0.62,6.0,6,0,Old Property,sector 13,192.0,0,0,0,Low,Mid Floor
house,9.5,5.0,7,3+,Under Construction,sector 33,4071.0,1,1,0,Medium,Low Floor
house,0.82,2.0,4,0,Moderately Old,sector 8,891.0,0,0,0,Low,Low Floor
house,2.4,4.0,4,3,Moderately Old,sector 46,900.0,0,1,2,Low,Mid Floor
flat,1.1,3.0,4,3,Moderately Old,sector 71,1622.0,1,0,0,Low,Mid Floor
house,5.65,7.0,7,3+,Moderately Old,sector 23,5000.0,1,0,0,Medium,Low Floor
flat,1.78,4.0,4,2,Relatively New,sector 69,1809.0,0,0,2,High,Mid Floor
house,6.0,4.0,5,3,Moderately Old,sector 109,6228.0,0,0,0,Medium,Low Floor
flat,2.25,3.0,3,3+,Relatively New,sector 81,1600.0,1,0,1,Low,High Floor
flat,0.96,3.0,4,3,New Property,sector 90,1688.0,1,0,0,Medium,Mid Floor
flat,0.88,2.0,2,3,New Property,sector 89,1228.0,0,0,0,Low,Low Floor
flat,1.79,3.0,3,3,Old Property,sector 49,1556.0,1,0,0,Low,Mid Floor
flat,2.03,3.0,3,2,New Property,sector 102,1332.0,0,0,0,Medium,Low Floor
flat,0.6,2.0,2,1,Under Construction,sector 81,810.0,0,0,0,Low,Low Floor
flat,1.3,3.0,2,3+,Relatively New,sector 104,1296.0,0,1,2,Low,High Floor
flat,4.3,3.0,4,3+,Relatively New,sector 22,2600.0,1,0,1,Medium,Mid Floor
flat,1.6,2.0,2,2,New Property,sector 61,1278.0,0,0,0,Medium,Mid Floor
flat,0.79,3.0,2,2,New Property,sector 92,1168.0,0,0,0,Low,High Floor
flat,1.14,3.0,3,2,Under Construction,sector 89,1581.0,0,0,0,Medium,Low Floor
flat,0.65,2.0,2,3,Relatively New,sector 90,1215.0,0,0,0,High,Mid Floor
house,2.55,3.0,3,2,Old Property,sector 2,1557.0,0,0,0,Low,Low Floor
house,0.7,3.0,3,0,Relatively New,sector 12,1160.0,0,0,0,Low,Low Floor
flat,0.6,2.0,2,3,Under Construction,sector 92,1188.0,0,0,0,Low,High Floor
flat,2.08,4.0,4,3+,Relatively New,sector 108,2631.0,1,0,0,Medium,Mid Floor
flat,0.82,2.0,2,3+,New Property,sector 95,1091.0,0,0,0,Medium,High Floor
flat,1.75,4.0,4,1,Relatively New,sector 69,1773.0,0,0,0,Medium,High Floor
flat,1.7,3.0,4,3,Moderately Old,sector 51,1773.0,0,1,0,Medium,Low Floor
flat,2.65,3.0,3,3,Relatively New,sector 65,1650.0,1,0,0,Low,Mid Floor
flat,2.6,3.0,3,3+,Relatively New,sector 65,1650.0,0,0,0,Low,Mid Floor
house,4.5,5.0,5,1,Relatively New,sector 14,2778.0,0,0,0,Low,Low Floor
flat,0.6,2.0,2,3,New Property,sector 111,789.0,0,0,0,Medium,Mid Floor
flat,1.46,4.0,6,3+,New Property,sector 76,2385.0,1,0,0,Medium,Mid Floor
house,8.4,4.0,4,3,Old Property,sector 48,3240.0,1,0,2,Low,Low Floor
