society,property_type,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,sector,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
emaar mgf emerald floors premier,flat,2.8,16970.0,4.0,4,3,2.0,Relatively New,V69389658,sector 65,1650.0,1,0,0,0,0,2,89,412.5
vatika gurgaon,flat,1.1,6051.0,3.0,3,3,12.0,Relatively New,V67219316,sector 83,1562.0,0,1,0,0,0,2,66,606.0
satya the hermitage,flat,1.12,5625.0,3.0,4,3+,9.0,New Property,L70174470,sector 103,1729.0,0,1,0,0,0,0,49,663.6666666666666
trisara our homes 3,flat,0.4,4479.0,2.0,2,2,1.0,Relatively New,K69930430,sector 6,900.0,0,0,0,0,0,0,0,446.5
kiran residency,flat,1.55,6889.0,3.0,3,3+,5.0,Moderately Old,U69829328,sector 56,1900.0,0,1,0,1,0,2,92,750.0
m3m soulitude,flat,1.33,16986.0,3.0,3,3,4.0,Under Construction,J69182772,sector 89,1423.0,1,0,0,0,0,0,125,261.0
the penthouses at the hibiscus,flat,8.5,8500.0,4.0,4,3,9.0,Moderately Old,S68296530,sector 50,11111.0,0,1,0,0,0,0,35,2500.0
independent,house,0.38,8444.0,2.0,2,2,1.0,Moderately Old,,sector 105,56.0,0,0,0,0,0,0,0,225.0
emaar mgf palm terraces select,flat,3.4,14108.0,4.0,4,3+,2.0,Relatively New,V69130074,sector 66,2210.0,0,1,0,0,0,2,157,602.5
emaar mgf the palm drive,flat,3.45,15682.0,3.0,4,3,6.0,Relatively New,Y69976046,sector 66,2000.0,0,1,0,0,0,2,95,733.3333333333334
independent,house,11.0,35530.0,5.0,5,3+,2.0,Relatively New,,sector 25,3096.0,1,1,1,1,0,0,29,619.2
sare homes,flat,0.56,4730.0,3.0,1,3,1.0,Moderately Old,L70036110,sector 92,1316.0,0,0,0,0,0,2,75,394.6666666666667
indiabulls centrum park,flat,2.14,7443.0,4.0,6,3+,7.0,Relatively New,Y68884816,sector 103,2711.0,0,1,0,0,0,0,142,718.75
independent,house,0.65,16049.0,3.0,3,2,3.0,Old Property,,sector 10,45.0,0,0,0,0,0,0,15,135.0
eldeco mansionz,house,5.15,18885.0,5.0,7,3,2.0,Moderately Old,,sector 48,2727.0,0,1,0,1,0,2,145,545.4
ats marigold,flat,1.85,8605.0,3.0,3,3+,12.0,New Property,W69990716,sector 89,1935.0,0,1,0,0,0,0,37,716.6666666666666
ss the leaf,flat,1.93,8075.0,3.0,4,3,7.0,Relatively New,R65906980,sector 85,2400.0,0,1,0,0,0,0,174,796.6666666666666
m3m heights,flat,2.8,14997.0,3.0,3,3,20.0,Under Construction,N68452032,sector 65,1867.0,0,0,0,0,0,0,91,622.3333333333334
ats triumph,flat,2.52,8000.0,4.0,4,3+,19.0,Relatively New,O66305694,sector 104,2800.0,0,1,1,0,0,2,156,787.5
imperia the esfera,flat,0.99,5500.0,3.0,3,1,10.0,New Property,N70028090,sector 37c,1634.0,0,1,0,0,0,0,49,600.0
dlf the belaire,flat,7.0,23333.0,4.0,6,3+,12.0,Moderately Old,W68384702,sector 54,2700.0,0,1,1,1,0,2,108,750.0
independent,house,1.5,10519.0,2.0,2,2,3.0,Old Property,,sector 13,1426.0,1,0,0,1,0,0,7,713.0
tata primanti,flat,4.1,14099.0,4.0,5,3+,39.0,New Property,W68196252,sector 72,2615.0,0,1,0,0,1,0,103,727.0
spectrum centre,flat,0.62,9538.0,1.0,1,0,6.0,Relatively New,C69239554,sector 82,650.0,0,0,0,0,0,0,0,650.0
godrej oasis,flat,1.0,6897.0,2.0,2,3,7.0,Relatively New,U66115782,sector 88a,1611.0,1,0,0,0,0,0,72,725.0
conscient habitat,flat,0.35,6422.0,2.0,2,1,3.0,Relatively New,V62459824,sector 99a,606.0,0,0,0,0,0,0,62,272.5
citizen apartment,flat,3.55,6826.0,5.0,6,3+,11.0,Moderately Old,L63486746,sector 51,5200.0,1,1,1,1,0,2,157,1040.2
vatika the seven lamps,flat,0.94,6532.0,2.0,2,3+,9.0,Relatively New,Z69523524,sector 82,1292.0,1,0,0,0,0,2,117,719.5
independent,house,0.95,8920.0,3.0,10,3+,3.0,New Property,,sector 47,1065.0,0,0,0,0,0,0,0,355.0
godrej,flat,2.01,8495.0,3.0,4,3+,6.0,Relatively New,Z69484588,sector 79,2130.0,0,1,0,0,0,0,158,788.6666666666666
jmd gardens,flat,3.25,7509.0,4.0,4,3+,17.0,Old Property,U66966014,sector 33,4809.0,0,1,0,0,0,2,130,1082.0
smart world orchard,flat,1.5,12500.0,2.0,2,2,2.0,Under Construction,D67228138,sector 61,1333.0,1,0,0,0,0,0,49,600.0
tulip violet,flat,1.44,9125.0,3.0,3,2,1.0,Relatively New,Q69429568,sector 69,1377.0,0,0,0,1,0,0,174,526.0
rof ananda,flat,0.26,6032.0,1.0,1,1,8.0,New Property,I65325074,sector 95,405.0,0,0,0,0,0,0,49,431.0
shree vardhman victoria,flat,1.65,8462.0,3.0,3,2,6.0,Relatively New,J69100962,sector 70,2167.0,1,0,0,0,0,0,72,650.0
umang winter hills,flat,1.2,6586.0,3.0,3,3,14.0,Relatively New,S69814050,sector 77,1822.0,0,0,0,0,0,0,46,607.3333333333334
shree vardhman victoria,flat,1.1,8462.0,2.0,2,2,8.0,Relatively New,B69475926,sector 70,1444.0,0,0,0,0,0,0,101,650.0
ansal celebrity homes,house,5.2,10000.0,4.0,5,2,1.0,Old Property,,sector 2,5200.0,0,0,0,0,0,0,0,1300.0
tulip violet,flat,1.4,8861.0,3.0,3,2,2.0,Relatively New,J68360894,sector 69,1420.0,0,0,0,1,0,0,102,526.6666666666666
independent,house,2.1,8387.0,4.0,3,0,2.0,Old Property,,sector 10,2504.0,0,0,0,0,0,0,0,626.0
tulip yellow,flat,1.8,10563.0,3.0,3,3,14.0,Under Construction,C69757652,sector 69,1893.0,0,0,0,0,0,0,49,568.0
m3m golf hills phase 1,flat,1.7,10828.0,3.0,2,3,10.0,Relatively New,Q68462640,sector 79,1570.0,0,0,0,0,0,0,0,523.3333333333334
independent,house,9.9,29333.0,5.0,5,2,2.0,Moderately Old,,sector 25,3375.0,0,0,0,1,0,2,106,675.0
shree vardhman victoria,flat,1.62,13953.0,3.0,3,3,9.0,Relatively New,P66281908,sector 70,1523.0,0,1,0,0,0,0,96,387.0
independent,house,5.0,15385.0,6.0,6,2,1.0,Old Property,,sector 2,3611.0,0,0,0,0,0,0,0,541.6666666666666
dlf new town heights,flat,1.99,7297.0,4.0,4,3+,9.0,Relatively New,P68756334,sector 90,3030.0,0,1,0,1,0,2,102,681.75
independent,house,12.5,38580.0,5.0,5,3+,2.0,Old Property,,sector 26,3240.0,1,1,1,1,0,2,79,648.0
umang monsoon breeze,flat,1.1,5055.0,3.0,3,3+,9.0,Old Property,I66729154,sector 78,2176.0,0,1,0,0,0,0,80,725.3333333333334
ss the leaf,flat,1.2,12371.0,2.0,2,2,4.0,Relatively New,L69748098,sector 85,1190.0,0,1,1,0,0,0,81,485.0
independent,house,1.4,8235.0,2.0,2,1,3.0,Relatively New,,sector 10,1700.0,0,0,0,0,0,0,0,850.0
aipl zen residences,flat,1.34,10276.0,2.0,2,3+,17.0,New Property,O69760674,sector 70,1174.0,0,0,0,0,0,2,110,652.0
raheja navodaya,flat,1.1,4681.0,3.0,2,3,0.0,Relatively New,V69903428,sector 92,2350.0,0,0,0,0,0,0,0,783.3333333333334
godrej air,flat,1.3,14541.0,2.0,2,3,30.0,Under Construction,P58422396,sector 85,1127.0,0,0,0,0,0,0,111,447.0
vipul lavanya,flat,0.64,5263.0,2.0,2,3,12.0,Relatively New,O67063838,sector 81,1361.0,0,0,0,0,0,2,93,608.0
independent,house,2.15,23889.0,3.0,3,3,3.0,Moderately Old,,sector 40,900.0,1,0,1,1,0,0,45,300.0
emaar palm gardens,flat,1.8,9474.0,3.0,3,3,6.0,Relatively New,K69430594,sector 83,1544.0,0,1,0,0,0,2,97,633.3333333333334
conscient heritage max,flat,2.15,9307.0,3.0,4,3,13.0,Relatively New,U69573286,sector 102,1934.0,1,1,0,0,0,0,101,770.0
shree vardhman flora,flat,0.7,5385.0,2.0,2,3,13.0,New Property,K68824240,sector 90,1170.0,1,0,0,0,0,0,15,650.0
bestech park view grand spa,flat,3.3,12222.0,4.0,5,3+,4.0,Relatively New,T69939324,sector 81,3062.0,1,1,0,0,0,2,174,675.0
cghs airport apartment,flat,1.8,6000.0,4.0,4,3+,4.0,Moderately Old,V69086280,sector 47,2850.0,0,0,1,0,0,2,120,750.0
ats triumph,flat,2.6,8814.0,4.0,4,3+,16.0,Relatively New,Y69218718,sector 104,3057.0,0,1,0,0,0,2,150,737.5
independent,house,0.55,7333.0,1.0,1,0,1.0,Moderately Old,,sector 3,750.0,0,0,0,0,0,0,0,750.0
independent,house,0.6,6000.0,1.0,1,0,1.0,Moderately Old,,sector 3,1000.0,0,0,0,0,0,0,0,1000.0
sapphire eighty three,flat,0.4,8547.0,1.0,1,1,6.0,Relatively New,W69644442,sector 83,520.0,0,0,0,0,0,1,52,468.0
ramprastha skyz,flat,1.2,6000.0,3.0,2,1,9.0,Under Construction,F48991065,sector 37,1900.0,0,1,0,0,1,0,53,666.6666666666666
smart world gems,flat,1.2,12526.0,3.0,3,3,3.0,Under Construction,L68503958,sector 89,1064.0,0,0,1,1,0,0,131,319.3333333333333
supertech araville,flat,0.78,6023.0,2.0,2,3+,0.0,New Property,V43914833,sector 79,1166.0,0,0,0,0,1,0,74,647.5
independent,house,11.75,41315.0,4.0,5,3+,4.0,Relatively New,,sector 28,2844.0,1,1,1,0,0,2,54,711.0
green court,flat,0.47,6812.0,2.0,2,1,0.0,New Property,Z68954336,sector 90,767.0,0,0,0,0,0,0,49,345.0
spaze privy at,flat,1.2,7453.0,2.0,2,3,3.0,Relatively New,S69262092,sector 84,1449.0,1,0,0,0,0,2,133,805.0
m3m woodshire,flat,1.21,6227.0,3.0,3,3,7.0,Moderately Old,W69550374,sector 107,1708.0,0,0,0,0,0,2,126,647.6666666666666
shapoorji pallonji joyville gurugram,flat,1.95,10529.0,3.0,3,3,10.0,Relatively New,F69125772,sector 102,1667.0,0,0,0,0,0,0,59,617.3333333333334
signature the roselia,flat,0.41,6193.0,2.0,2,2,12.0,New Property,W68753936,sector 95a,670.0,1,0,0,0,0,2,90,331.0
vatika city,flat,3.6,11921.0,4.0,5,3,7.0,Moderately Old,D63665484,sector 49,3356.0,0,1,0,1,0,1,15,755.0
independent,house,0.61,11111.0,2.0,2,2,2.0,Moderately Old,,sector 105,61.0,0,0,0,0,1,0,14,274.5
raisina residency,flat,5.0,13058.0,4.0,4,3+,13.0,Relatively New,G69161684,sector 59,4254.0,1,1,1,1,0,2,174,957.25
dlf regal gardens,flat,1.8,7223.0,4.0,4,3+,7.0,Moderately Old,H65641346,sector 90,1994.0,0,0,0,0,0,0,38,623.0
la vida by tata housing,flat,1.5,11755.0,2.0,2,2,13.0,New Property,N68564716,sector 113,1418.0,0,0,0,0,0,0,71,638.0
surendra avenue 69,flat,0.75,6818.0,2.0,2,2,4.0,Moderately Old,W69007956,sector 69,1100.0,0,0,0,0,0,0,0,550.0
bptp pedestal,house,0.92,7751.0,2.0,3,3+,3.0,New Property,,sector 70,1319.0,0,0,0,0,1,0,153,593.5
whiteland  the aspen,flat,3.5,11917.0,3.0,4,3,8.0,Under Construction,G69383624,sector 76,2937.0,0,0,0,0,0,0,0,979.0
signature global solera,flat,0.28,5622.0,2.0,2,2,14.0,Relatively New,Z69242412,sector 107,543.0,0,0,0,0,0,0,38,249.0
mapsko casa bella,flat,1.38,5444.0,4.0,5,3+,20.0,Relatively New,I36607827,sector 82,2282.0,0,1,0,0,0,0,79,633.75
independent,house,0.75,10519.0,2.0,4,1,3.0,Moderately Old,,sector 6,713.0,0,0,0,0,0,0,62,356.5
indiabulls centrum park,flat,1.01,8080.0,2.0,2,3,5.0,Relatively New,K69069814,sector 103,1335.0,0,0,1,0,0,2,165,625.0
emaar mgf the palm drive,flat,4.6,18400.0,3.0,3,3,11.0,Relatively New,B65904102,sector 66,2874.0,1,1,1,1,0,0,131,833.3333333333334
ireo the corridors,flat,1.3,10031.0,2.0,2,2,1.0,Relatively New,K69999718,sector 67,1296.0,0,0,0,0,0,0,55,648.0
shapoorji pallonji joyville gurugram,flat,2.12,11447.0,3.0,3,3,9.0,New Property,R66900322,sector 102,1567.0,0,0,0,0,0,0,109,617.3333333333334
nirvana cedar crest,house,3.99,8867.0,4.0,5,3+,4.0,New Property,,sector 50,4500.0,0,1,0,1,0,2,112,1125.0
signature global synera,flat,0.5,7886.0,2.0,2,1,11.0,New Property,Y60756136,sector 81,704.0,0,0,0,0,0,1,97,317.0
signature global park 4,flat,0.72,6660.0,3.0,2,3,3.0,Under Construction,F65995402,sector 36,973.0,0,0,0,0,0,0,0,360.3333333333333
independent,house,4.6,26620.0,7.0,6,3+,4.0,Moderately Old,,sector 47,1728.0,0,0,0,0,0,1,51,246.8571428571429
supertech araville,flat,0.71,6063.0,2.0,2,3+,17.0,New Property,Y61729236,sector 79,1277.0,0,0,0,0,1,0,53,585.5
signature global grand iva,flat,0.23,6534.0,1.0,1,1,4.0,Relatively New,Y66925870,sector 103,400.0,0,0,0,0,0,0,23,352.0
m3m woodshire,flat,1.3,8922.0,3.0,3,3+,4.0,Relatively New,B67389294,sector 107,1554.0,0,0,0,1,0,2,174,485.6666666666667
adani oyster greens,flat,1.9,10058.0,3.0,3,3+,9.0,Relatively New,W70011122,sector 102,2099.0,1,0,1,1,0,0,0,629.6666666666666
m3m skywalk,flat,1.52,13345.0,2.0,2,3,6.0,Relatively New,S69823246,sector 74,1250.0,0,0,1,0,0,0,174,569.5
smart world gems,flat,1.1,9973.0,2.0,2,2,3.0,New Property,H69613078,sector 89,1226.0,0,0,1,0,0,0,77,551.5
vatika the seven lamps,flat,0.85,5977.0,2.0,2,2,9.0,Relatively New,G69160024,sector 82,1287.0,1,0,0,0,0,0,117,711.0
emaar mgf emerald floors premier,flat,2.36,14303.0,3.0,3,3,0.0,Relatively New,E66198642,sector 65,1485.0,1,1,0,0,0,2,159,550.0
godrej,flat,1.28,8505.0,3.0,3,3,7.0,Relatively New,W69485350,sector 79,1355.0,0,0,0,0,0,0,158,501.6666666666667
godrej meridien,house,5.6,14000.0,5.0,4,3+,33.0,New Property,,sector 106,4000.0,1,1,1,1,0,0,151,800.0
signature global rosellia,flat,0.45,8755.0,2.0,2,2,14.0,New Property,D66371880,sector 95a,571.0,0,0,0,0,0,0,24,257.0
independent,house,5.8,12838.0,4.0,4,3+,4.0,Old Property,,sector 26,4518.0,0,0,0,0,0,0,38,1129.5
avl 36 gurgaon,flat,0.45,9000.0,1.0,1,1,9.0,Relatively New,M70184602,sector 36a,450.0,0,0,0,0,0,0,0,500.0
independent,house,0.71,10143.0,2.0,2,1,2.0,New Property,,sector 14,700.0,0,0,0,0,0,0,0,350.0
umang winter hills,flat,1.4,6341.0,3.0,3,3,10.0,Relatively New,C68021494,sector 77,1735.0,0,0,0,0,0,0,28,736.0
central park 2 bellevue,flat,5.0,11628.0,3.0,4,3,14.0,Moderately Old,I70070186,sector 48,4778.0,0,0,0,0,0,0,82,1433.3333333333333
independent,house,3.65,23443.0,3.0,9,3+,3.0,New Property,,sector 2,1557.0,0,1,0,1,0,2,116,519.0
ireo the corridors,flat,2.0,11429.0,3.0,3,3,12.0,New Property,V19994483,sector 67,1575.0,1,0,0,0,0,0,38,583.3333333333334
independent,house,2.1,17284.0,2.0,6,3+,3.0,Relatively New,,laxmi garden,1215.0,0,0,0,0,0,0,14,607.5
sushant lok 1 builder floors,house,1.95,10078.0,3.0,4,3+,4.0,New Property,,sector 43,1935.0,0,1,0,0,0,2,78,645.0
m3m sky lofts,flat,1.0,11494.0,1.0,1,1,9.0,Moderately Old,D69701036,sector 71,869.0,0,0,0,0,0,0,77,870.0
aipl the peaceful homes,flat,2.5,11628.0,3.0,3,3+,15.0,Relatively New,Y69535966,sector 70,1718.0,0,0,0,0,1,2,174,716.6666666666666
unitech espace,house,7.5,34722.0,3.0,3,2,2.0,Moderately Old,,sector 50,2160.0,0,1,0,0,0,2,66,720.0
independent,house,0.4,8889.0,1.0,1,0,1.0,Moderately Old,,sector 4,450.0,0,0,0,0,0,0,0,450.0
bestech altura,flat,1.72,8000.0,3.0,4,3+,5.0,Relatively New,Y68282394,sector 79,1690.0,0,1,0,0,0,0,174,716.6666666666666
independent,house,3.75,26042.0,4.0,4,3,3.0,Moderately Old,,sector 54,1440.0,0,1,0,0,0,2,13,360.0
independent,house,1.2,11194.0,2.0,4,2,3.0,Old Property,,sector 7,1072.0,0,0,0,0,0,0,0,536.0
imt view society,flat,0.95,3652.0,3.0,4,3,6.0,Moderately Old,Y70129276,sector 1,2226.0,0,1,0,0,0,0,81,867.0
supertech araville,flat,0.9,6950.0,2.0,2,0,12.0,Relatively New,E68021654,sector 79,1295.0,0,0,0,0,0,0,0,647.5
vatika india next,flat,0.8,6426.0,2.0,2,3,9.0,Relatively New,P69238064,sector 82,1383.0,0,0,0,0,0,0,0,622.5
dlf new town heights,flat,1.55,6557.0,4.0,4,3+,1.0,Relatively New,P44401719,sector 90,2128.0,0,1,0,1,0,0,81,591.0
m3m heights,flat,2.78,15200.0,3.0,3,3,44.0,Relatively New,T69537078,sector 65,1829.0,0,0,0,0,0,0,56,609.6666666666666
green court,flat,0.5,8333.0,2.0,2,1,8.0,New Property,K63168640,sector 90,648.0,0,0,0,0,0,0,42,300.0
dlf new town heights,flat,1.55,6579.0,4.0,4,3+,12.0,Moderately Old,N61446680,sector 86,2033.0,0,1,0,1,0,2,120,589.0
tulip yellow,house,2.95,16389.0,4.0,3,2,3.0,New Property,,sector 69,1800.0,0,0,0,1,1,1,111,450.0
m3m latitude,flat,4.6,26791.0,3.0,3,3,7.0,New Property,C69594442,sector 65,1717.0,1,1,1,1,0,0,115,572.3333333333334
m3m sierra 68,flat,1.13,9076.0,2.0,2,3,9.0,Relatively New,X69526324,sector 68,1130.0,0,0,0,0,0,2,149,622.5
experion windchants,flat,5.6,11551.0,4.0,6,3+,8.0,Relatively New,E68670550,sector 112,3655.35,0,1,0,0,0,2,168,1212.0
bestech park view ananda,flat,1.45,8011.0,3.0,3,3,8.0,Relatively New,G68629204,sector 81,1650.0,0,0,0,0,1,2,128,603.3333333333334
corona optus,flat,1.43,7186.0,3.0,3,3+,2.0,Relatively New,N70044190,sector 37c,1840.0,1,1,0,0,1,0,49,663.3333333333334
independent,house,6.0,33333.0,3.0,5,3+,3.0,Old Property,,sector 26,1800.0,0,0,0,0,0,2,9,600.0
tulip violet,flat,1.4,8872.0,3.0,3,2,11.0,Relatively New,U68278304,sector 69,1420.0,0,0,0,1,0,0,126,526.0
m3m merlin,flat,3.4,14419.0,3.0,4,3,16.0,Relatively New,F69941624,sector 67,2010.0,0,1,0,0,0,2,174,786.0
dlf the ultima,flat,2.25,10755.0,3.0,4,3+,11.0,Relatively New,K67331866,sector 81,2090.0,0,1,0,0,0,1,174,697.3333333333334
tulip violet,flat,1.7,8445.0,4.0,4,2,7.0,Relatively New,F68278536,sector 69,1809.0,0,0,0,0,0,0,128,503.25
ss the leaf,flat,1.22,13319.0,2.0,2,3,16.0,Relatively New,D69748150,sector 85,1300.0,0,0,1,0,0,0,81,458.0
suncity avenue 76,flat,0.55,7422.0,2.0,2,2,9.0,Under Construction,Q67912486,sector 76,823.0,0,0,0,0,0,0,26,370.5
independent,house,4.75,28788.0,3.0,3,3,2.0,Moderately Old,,sector 57,1650.0,0,0,1,0,0,2,96,550.0
ansal heights 86,flat,0.74,5441.0,2.0,2,1,11.0,Under Construction,K24849431,sector 86,1224.0,0,0,0,0,1,0,45,680.0
m3m merlin,flat,2.8,13672.0,3.0,3,3,2.0,Relatively New,K69205204,sector 67,2048.0,0,0,1,0,0,1,174,682.6666666666666
independent,house,1.5,10288.0,3.0,3,0,2.0,Old Property,,sector 3,210.0,0,0,0,0,0,0,0,486.0
independent,house,1.16,11694.0,2.0,4,2,3.0,Moderately Old,,sector 7,1102.0,0,0,0,0,1,0,39,496.0
spaze privvy the address,flat,1.25,6898.0,3.0,4,2,12.0,Relatively New,G66828720,sector 93,1350.0,0,0,0,0,0,2,96,604.0
emaar mgf emerald floors premier,flat,2.8,16970.0,3.0,3,2,3.0,Relatively New,A69640796,sector 65,1650.0,0,1,0,0,0,0,105,550.0
trisara our homes 3,flat,0.21,4339.0,1.0,1,0,2.0,Relatively New,O68908920,sector 6,484.0,0,0,0,0,0,0,0,484.0
avl 36 gurgaon,flat,0.4,10204.0,1.0,1,1,4.0,Relatively New,G69799298,sector 36a,436.0,0,0,0,0,0,0,35,392.0
emaar mgf marbella,house,19.0,31667.0,5.0,6,3+,3.0,Relatively New,,sector 66,6667.0,0,1,1,1,0,2,110,1200.0
orris aster court premier,flat,1.25,5896.0,3.0,4,2,6.0,Relatively New,F69545814,sector 85,1616.0,0,1,0,0,0,2,49,706.6666666666666
bptp freedom park life,flat,2.5,11111.0,3.0,3,3,9.0,Moderately Old,S68706654,sector 57,2025.0,0,0,0,0,0,0,55,750.0
paras dews,flat,1.32,5605.0,4.0,5,3+,11.0,Relatively New,Y69429218,sector 106,1535.0,0,1,0,0,0,0,49,588.75
signature global solera,flat,0.5,7692.0,2.0,2,1,11.0,Relatively New,Z68531202,sector 107,491.0,0,0,0,0,0,0,55,325.0
ss the leaf,flat,1.11,6852.0,2.0,2,3,8.0,Relatively New,U67564566,sector 85,1630.0,0,0,1,0,0,0,174,810.0
emaar mgf marbella,house,12.0,37037.0,5.0,5,3+,3.0,New Property,,sector 66,3240.0,0,1,1,1,0,2,106,648.0
ss the leaf,flat,2.1,8721.0,3.0,4,3+,6.0,Relatively New,Z69992096,sector 85,2020.0,0,1,0,0,0,0,156,802.6666666666666
unitech espace,house,10.45,32253.0,5.0,7,3+,3.0,Moderately Old,,sector 50,3240.0,1,1,0,1,1,2,153,648.0
aardhya homesh,flat,1.85,8043.0,4.0,4,0,4.0,Relatively New,A65698542,sector 67,2556.0,0,0,0,0,0,0,0,575.0
smart world gems,flat,0.9,8145.0,2.0,2,2,1.0,New Property,U69383626,sector 89,1105.0,0,0,0,0,0,0,45,552.5
project mianwali colony,house,2.0,14815.0,5.0,5,2,3.0,Old Property,,sector 12,1350.0,0,0,0,0,0,0,0,270.0
sapphire eighty three,flat,0.65,9286.0,1.0,1,0,6.0,Relatively New,C68022584,sector 83,700.0,0,0,0,0,0,0,0,700.0
vatika lifestyle homes,flat,1.15,6553.0,3.0,2,3,15.0,Relatively New,F70184408,sector 83,1580.0,0,0,0,0,0,0,37,585.0
orris aster court premier,flat,1.49,5820.0,4.0,5,3+,10.0,Relatively New,G69158602,sector 85,2017.0,0,1,0,0,0,2,84,640.0
raheja vedaanta,flat,0.8,4080.0,3.0,3,3,9.0,Relatively New,K67112032,sector 108,1654.0,0,0,0,1,0,0,174,653.6666666666666
m3m woodshire,flat,1.65,5961.0,4.0,5,3+,12.0,Relatively New,I68360600,sector 107,2491.0,0,1,0,0,0,0,21,692.0
signature global city,flat,1.1,8494.0,3.0,3,2,2.0,Under Construction,T69935996,sector 37,1439.0,0,0,0,0,0,0,36,431.6666666666667
project housing board colony,house,2.58,17695.0,4.0,2,2,2.0,Relatively New,,sector 28,1458.0,0,0,0,0,0,0,0,364.5
imperia the esfera,flat,1.4,5385.0,4.0,5,3,9.0,Relatively New,X70042654,sector 37c,2337.0,1,1,0,1,1,0,49,650.0
pyramid urban,flat,0.53,8968.0,2.0,2,1,6.0,Relatively New,F69850864,sector 67,657.0,0,0,0,0,1,2,49,295.5
raheja navodaya,flat,0.85,5407.0,3.0,3,0,0.0,Relatively New,O59506130,sector 92,1415.0,0,0,0,0,0,0,88,524.0
independent,house,9.85,29642.0,5.0,5,2,3.0,Old Property,,a block sushant lok phase 1,3323.0,1,1,0,1,0,0,21,664.6
independent,house,19.5,27083.0,8.0,9,3+,2.0,New Property,,sector 2,7200.0,1,1,0,1,0,0,122,900.0
ireo the corridors,flat,2.0,11581.0,3.0,3,2,6.0,Under Construction,E58721404,sector 67,1342.0,0,0,0,0,1,0,15,575.6666666666666
sobha city,flat,2.33,14463.0,3.0,3,3,17.0,Relatively New,U69326196,sector 108,1711.0,0,0,1,0,0,2,159,537.0
ats kocoon,flat,2.22,10597.0,3.0,3,3,20.0,Relatively New,L50048206,sector 109,1886.0,0,1,0,0,1,0,79,698.3333333333334
ild greens,flat,0.75,5245.0,2.0,2,3+,13.0,Relatively New,A68021584,sector 37c,1430.0,0,0,0,0,0,0,51,715.0
ats marigold,flat,1.7,9714.0,3.0,3,3+,8.0,Under Construction,F69969730,sector 89,1944.0,1,0,0,0,0,0,65,583.3333333333334
shree vardhman victoria,flat,1.6,8205.0,3.0,5,3,6.0,Relatively New,D69342992,sector 70,2167.0,0,1,0,0,0,0,174,650.0
sare homes,flat,1.18,5207.0,4.0,4,3,8.0,Relatively New,K69810986,sector 92,2518.0,0,1,0,0,0,0,108,566.5
ardee city,flat,1.55,7381.0,4.0,4,3,1.0,Moderately Old,Y68863904,sector 52,2100.0,0,0,0,0,0,0,0,525.0
ace palm floors,flat,0.97,7861.0,2.0,2,2,1.0,New Property,R69427524,sector 89,1371.0,1,0,0,0,0,0,28,617.0
independent,house,0.8,8155.0,2.0,4,1,2.0,Moderately Old,,sector 3,981.0,0,0,0,0,0,0,0,490.5
independent,house,1.85,16003.0,4.0,3,2,3.0,Moderately Old,,sector 1,1284.0,0,0,0,0,0,0,0,289.0
bestech park view grand spa,flat,2.22,8346.0,3.0,4,3+,15.0,Relatively New,Z68363354,sector 81,2394.0,0,1,0,0,0,2,174,886.6666666666666
ansal heights 86,flat,0.78,5735.0,2.0,2,2,8.0,New Property,K57098890,sector 86,1360.0,0,0,0,0,0,0,72,680.0
indiabulls centrum park,flat,1.9,5682.0,3.0,4,3+,10.0,Relatively New,D69120526,sector 103,3716.0,1,1,0,1,1,2,49,1114.6666666666667
emaar palm gardens,flat,1.48,7789.0,3.0,3,3,7.0,Relatively New,J56394836,sector 83,1544.0,0,1,0,0,0,0,66,633.3333333333334
brisk lumbini terrace homes,flat,1.38,6339.0,3.0,3,1,4.0,Moderately Old,F68641358,sector 109,2419.0,0,0,0,0,0,0,20,725.6666666666666
ats tourmaline,flat,2.25,8704.0,3.0,4,3,14.0,Relatively New,T69512220,sector 109,2327.0,0,1,0,0,0,0,101,861.6666666666666
emaar mgf palm hills,flat,1.5,12744.0,3.0,3,3,4.0,Relatively New,R68567906,sector 77,1306.0,0,0,0,0,0,2,97,392.3333333333333
bestech altura,flat,2.69,12500.0,3.0,4,3+,3.0,New Property,M69582218,sector 79,2152.0,0,1,0,0,0,0,49,717.3333333333334
imperia the esfera,flat,0.86,4886.0,3.0,3,2,0.0,New Property,K42207359,sector 37c,1584.0,0,0,0,0,1,0,35,586.6666666666666
independent,house,0.99,17188.0,1.0,4,3,4.0,Relatively New,,sector 47,576.0,0,0,0,0,0,0,13,576.0
m3m latitude,flat,4.7,19748.0,3.0,3,3+,9.0,Relatively New,Y69570676,sector 65,2380.0,0,1,0,1,0,2,44,793.3333333333334
ss the leaf,flat,1.78,7392.0,3.0,4,3+,6.0,New Property,U66846626,sector 85,2167.0,0,0,1,0,0,0,113,802.6666666666666
international city by sobha phase 1,house,5.75,16429.0,4.0,4,2,3.0,Relatively New,,sector 109,4800.0,0,1,0,0,0,0,146,875.0
not applicable,house,0.4,9259.0,1.0,1,1,1.0,Moderately Old,,sector 4,432.0,0,0,0,0,0,0,0,432.0
experion windchants,flat,3.75,13383.0,3.0,5,3+,22.0,Relatively New,T70109814,sector 112,2522.0,0,1,0,0,0,2,49,934.0
