society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
bestech park view ananda,flat,1.4,7734.0,Super Built up area 1810(168.15 sq.m.)Carpet area: 1180 sq.ft. (109.63 sq.m.),1810.0,3,3,3+,6.0,North-West,Relatively New,A69156170,sector 81,1810.0,,1180.0,0,0,0,0,0,0,95
breeze global heights,flat,0.4,6421.0,Built Up area: 623 (57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),623.0,2,2,2,4.0,,Undefined,R69074616,sector 33,,623.0,599.0,0,0,0,0,0,0,0
emaar palm gardens,flat,1.76,9263.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),1900.0,3,3,3,5.0,South-East,Relatively New,M69824034,sector 83,1900.0,1600.0,1240.04,0,1,0,0,0,2,174
pareena coban residences,flat,1.13,5658.0,Super Built up area 1997(185.53 sq.m.)Built Up area: 1790 sq.ft. (166.3 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1997.0,3,5,3,5.0,East,Relatively New,O68920324,sector 99a,1997.0,1790.0,1500.0,0,1,0,0,1,0,49
bptp terra,flat,1.65,7530.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2091 sq.ft. (194.26 sq.m.)Carpet area: 1991 sq.ft. (184.97 sq.m.),2191.0,4,3,3+,6.0,West,Relatively New,E70094810,sector 37,2191.0,2091.0,1991.0,0,0,0,0,0,2,149
ansal api esencia,flat,1.0,6435.0,Super Built up area 1554(144.37 sq.m.),1554.0,3,3,3+,2.0,,Moderately Old,M70148846,sector 67,1554.0,,,0,0,0,0,0,0,9
suncity avenue 76,house,0.75,10067.0,Plot area 745(69.21 sq.m.)Built Up area: 745 sq.ft. (69.21 sq.m.),745.0,2,2,2,11.0,North-East,New Property,,sector 76,,745.0,,0,0,0,0,0,0,40
independent,house,3.6,14815.0,Plot area 270(225.75 sq.m.),2430.0,4,4,3,2.0,North-East,New Property,,sector 91,,2430.0,,0,0,0,0,0,2,49
bestech park view ananda,flat,1.45,8734.0,Super Built up area 1660(154.22 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),1660.0,3,2,3+,3.0,,Relatively New,A52657366,sector 81,1660.0,,1082.0,0,0,0,0,1,0,45
independent,house,0.6,10753.0,Plot area 62(51.84 sq.m.),558.0,2,2,1,1.0,North-East,Moderately Old,,sector 9,,558.0,,0,0,0,0,0,0,8
sanskriti apartments,flat,2.5,13513.0,Super Built up area 1850(171.87 sq.m.),1850.0,3,2,3,5.0,East,Old Property,O62778832,sector 43,1850.0,,,1,0,0,0,0,0,0
4s aradhya homes,flat,1.9,8863.0,Super Built up area 2200(204.39 sq.m.),2144.0,4,4,3,3.0,,New Property,I68708876,sector 67,2200.0,,,0,0,0,0,0,2,62
avl 36 gurgaon,flat,0.65,8953.0,Super Built up area 726(67.45 sq.m.),726.0,2,2,2,7.0,,Relatively New,B67060802,sector 36a,726.0,,,0,0,0,0,0,0,89
m3m woodshire,flat,1.32,6330.0,Super Built up area 1943(180.51 sq.m.),2085.0,3,3,3,10.0,East,Relatively New,A69551290,sector 107,1943.0,,,0,0,0,0,0,0,117
ramprastha the atrium,flat,1.0,7782.0,Super Built up area 1285(119.38 sq.m.),1285.0,3,3,2,4.0,,Relatively New,M65536434,sector 37,1285.0,,,0,0,0,0,0,0,13
emaar gurgaon greens,flat,1.5,9090.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),1650.0,3,3,3,7.0,West,Relatively New,B69411182,sector 102,1650.0,,1022.58,0,0,0,1,0,2,174
pyramid urban homes 2,flat,0.43,8582.0,Carpet area: 501 (46.54 sq.m.),501.0,2,2,1,6.0,North-East,New Property,Q69709364,sector 86,,,501.0,1,0,0,0,0,0,92
vatika gurgaon,flat,1.4,6628.0,Super Built up area 1735(161.19 sq.m.),2112.0,3,3,2,7.0,,Relatively New,R27159915,sector 83,1735.0,,,0,0,0,0,0,2,74
hsiidc sidco shivalik apartments,flat,0.6,4000.0,Super Built up area 1500(139.35 sq.m.)Carpet area: 1077 sq.ft. (100.06 sq.m.),1500.0,3,2,2,5.0,South-East,Moderately Old,S70129104,sector 1,1500.0,,1077.0,0,0,0,0,0,0,80
eros rosewood villas,house,2.5,13513.0,Plot area 1530(142.14 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),1850.0,3,3,2,2.0,East,Moderately Old,,sector 49,,1900.0,1850.0,0,0,1,1,0,0,59
sidhartha ncr greens,flat,0.56,5656.0,Super Built up area 990(91.97 sq.m.),990.0,2,2,3,13.0,,New Property,J69503006,sector 95,990.0,,,0,0,0,0,0,0,8
ireo victory valley,house,8.0,22222.0,Plot area 400(334.45 sq.m.),3600.0,6,7,3+,51.0,North-East,Moderately Old,,sector 67,,3600.0,,1,1,0,1,0,2,49
independent,house,1.65,18333.0,Built Up area: 900 (83.61 sq.m.),900.0,2,3,0,3.0,,Undefined,,sector 9,,900.0,,0,0,0,0,0,0,0
independent,house,7.0,28283.0,Plot area 275(229.94 sq.m.),2475.0,7,7,3+,3.0,South-West,Moderately Old,,sector 41,,2475.0,,1,1,1,1,0,1,151
dlf new town heights,flat,2.0,6967.0,Super Built up area 2727(253.35 sq.m.),2871.0,4,4,3+,16.0,East,Moderately Old,K47366137,sector 91,2727.0,,,1,1,0,1,0,0,65
bestech altura,flat,1.9,9000.0,Carpet area: 2150 (199.74 sq.m.),2111.0,3,4,2,11.0,,New Property,F69661380,sector 79,,,2150.0,0,1,0,0,0,0,49
mahindra aura,flat,2.25,9266.0,Super Built up area 2428(225.57 sq.m.)Built Up area: 2350 sq.ft. (218.32 sq.m.)Carpet area: 2050 sq.ft. (190.45 sq.m.),2428.0,4,4,3+,2.0,South-West,Relatively New,I69292978,sector 110,2428.0,2350.0,2050.0,0,1,0,0,0,0,152
m3m capital,flat,1.83,13969.0,Built Up area: 1310 (121.7 sq.m.),1310.0,2,2,0,7.0,,Undefined,H68063758,sector 113,,1310.0,,0,0,0,0,0,0,68
m3m heights,flat,1.95,16000.0,Super Built up area 1261(117.15 sq.m.),1219.0,2,2,3,16.0,,Under Construction,Z66627902,sector 65,1261.0,,,0,0,0,0,0,0,44
m3m the marina,flat,1.02,8095.0,Super Built up area 1260(117.06 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),1260.0,2,2,2,11.0,North-East,Relatively New,Z70091460,sector 68,1260.0,1250.0,800.0,0,0,0,0,1,2,49
m3m crown,flat,4.67,17000.0,Carpet area: 2750 (255.48 sq.m.),2747.0,4,4,3+,8.0,,Under Construction,I68979650,sector 111,,,2750.0,0,0,0,0,0,0,73
unitech espace,house,7.35,41762.0,Plot area 240(200.67 sq.m.),1760.0,4,4,3+,3.0,South,Moderately Old,,sector 50,,240.0,,0,1,0,1,0,2,52
shapoorji pallonji joyville gurugram,flat,2.15,12706.0,Super Built up area 1692(157.19 sq.m.)Built Up area: 1690 sq.ft. (157.01 sq.m.)Carpet area: 1592 sq.ft. (147.9 sq.m.),1692.0,3,3,3,10.0,South-West,Relatively New,T69506328,sector 102,1692.0,1690.0,1592.0,0,0,0,0,0,2,49
vatika gurgaon,flat,1.25,6313.0,Super Built up area 1980(183.95 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1980.0,3,3,2,12.0,North,Moderately Old,D65295232,sector 83,1980.0,1700.0,1400.0,0,1,0,0,0,0,95
signature global solera,flat,0.38,6333.0,Super Built up area 650(60.39 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),600.0,2,2,2,3.0,East,Relatively New,Q69135694,sector 107,650.0,,600.0,0,0,0,0,0,1,23
mapsko mount ville,flat,1.2,8053.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),1490.0,3,3,3+,24.0,East,Relatively New,D70021798,sector 79,1490.0,,863.91,0,0,0,0,0,2,135
supertech new soft launch,flat,0.84,7119.0,Built Up area: 1180 (109.63 sq.m.),1180.0,2,2,2,7.0,East,Undefined,P69774466,sector 68,,1180.0,,0,0,0,0,0,0,0
independent,house,5.3,27390.0,Plot area 215(179.77 sq.m.),1935.0,9,9,3+,3.0,East,Moderately Old,,c block sushant lok phase 1,,1935.0,,0,1,0,0,0,2,71
gls avenue 51,flat,0.21,6953.0,Carpet area: 302 (28.06 sq.m.),302.0,1,1,1,0.0,South-East,Relatively New,D69622838,sector 92,,,302.0,0,0,0,0,0,0,63
pyramid urban,flat,0.62,11854.0,Carpet area: 523 (48.59 sq.m.),523.0,2,2,2,2.0,South,Relatively New,T69865168,sector 67,,,523.0,0,0,0,0,0,0,64
vatika inxt floors,flat,1.25,8333.0,Carpet area: 1500 (139.35 sq.m.),1500.0,3,2,3,2.0,North,Relatively New,Z67067884,sector 82,,,1500.0,1,0,0,1,0,2,94
sukhshanti apartment,flat,1.65,7006.0,Super Built up area 2355(218.79 sq.m.),2355.0,3,3,3+,5.0,North,Moderately Old,U69297024,sector 56,2355.0,,,1,0,0,0,0,2,134
tulip violet,flat,1.75,9459.0,Carpet area: 1850 (171.87 sq.m.),1850.0,3,4,2,0.0,East,Relatively New,A69646676,sector 69,,,1850.0,0,0,0,0,0,2,174
whiteland blissville,flat,1.92,11500.0,Built Up area: 1672 (155.33 sq.m.)Carpet area: 940 sq.ft. (87.33 sq.m.),1670.0,3,3,2,2.0,,Undefined,Q69258518,sector 76,,1672.0,940.0,0,0,0,0,0,0,61
independent,house,3.0,53763.0,Plot area 62(51.84 sq.m.),558.0,12,12,3+,5.0,West,New Property,,sector 43,,558.0,,0,0,0,0,1,1,20
experion windchants,house,7.46,10260.0,Built Up area: 6350 (589.93 sq.m.),7271.0,4,4,3+,2.0,East,Relatively New,,sector 112,,6350.0,,0,1,0,1,0,2,62
independent,house,9.0,33333.0,Plot area 300(250.84 sq.m.),2700.0,5,5,2,3.0,South-West,Old Property,,sector 26,,2700.0,,1,1,1,1,0,1,110
independent,house,8.0,230547.0,Built Up area: 347 (32.24 sq.m.)Carpet area: 215 sq.ft. (19.97 sq.m.),347.0,10,10,3+,1.0,North,Undefined,,sector 38,,347.0,215.0,0,0,0,0,0,0,0
dlf new town heights,flat,1.65,6979.0,Super Built up area 2364(219.62 sq.m.),2364.0,4,4,3+,15.0,South-East,Moderately Old,S69409454,sector 90,2364.0,,,0,1,0,0,0,2,137
emaar mgf emerald floors premier,flat,2.36,14303.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1650.0,3,3,3,2.0,North-East,Relatively New,I69303958,sector 65,1650.0,,1400.0,1,1,0,0,0,2,136
shapoorji pallonji joyville gurugram,flat,2.0,17729.0,Super Built up area 1852(172.06 sq.m.)Built Up area: 1456 sq.ft. (135.27 sq.m.)Carpet area: 1128.09 sq.ft. (104.8 sq.m.),1128.0,3,3,3+,1.0,South,Relatively New,H69435294,sector 102,1852.0,1456.0,1128.09,0,0,1,0,0,0,139
independent,house,0.68,3874.0,Built Up area: 1755 (163.04 sq.m.),1755.0,5,3,0,1.0,,Undefined,,sector 3,,1755.0,,0,0,0,0,0,0,0
corona optus,flat,1.26,7250.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),1738.0,3,3,3,4.0,North-East,New Property,G69594300,sector 37c,1735.0,1400.0,965.0,0,0,0,0,0,0,28
independent,house,13.5,19286.0,Built Up area: 7000 (650.32 sq.m.),7000.0,9,9,0,1.0,East,Relatively New,,sector 25,,7000.0,,0,0,0,0,0,0,0
bptp terra,flat,1.8,8215.0,Super Built up area 2191(203.55 sq.m.),2191.0,4,3,3,12.0,North,Relatively New,H66081186,sector 37,2191.0,,,1,0,0,0,0,2,144
sbtl caladium,flat,1.63,6404.0,Super Built up area 2545(236.44 sq.m.),2545.0,3,3,2,8.0,North-West,Relatively New,D68723600,sector 109,2545.0,,,0,1,0,0,0,0,159
u block dlf phase 3 road no 21,house,1.6,29630.0,Plot area 60(50.17 sq.m.),540.0,7,5,3+,4.0,,Old Property,,sector 24,,540.0,,0,0,0,0,0,0,0
shapoorji pallonji joyville gurugram,flat,1.8,10638.0,Super Built up area 1692(157.19 sq.m.),1692.0,3,3,3,5.0,North,Relatively New,G70022368,sector 102,1692.0,,,0,0,0,0,0,0,49
emaar palm gardens,flat,3.15,8400.0,Super Built up area 3750(348.39 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.)Carpet area: 2444.94 sq.ft. (227.14 sq.m.),3750.0,5,7,3+,15.0,West,Relatively New,J69236342,sector 83,3750.0,3200.0,2444.94,0,1,0,0,0,2,165
emaar mgf emerald floors premier,flat,2.85,14430.0,Super Built up area 1975(183.48 sq.m.),1975.0,4,4,3+,0.0,West,Relatively New,K66759876,sector 65,1975.0,,,1,1,0,0,0,2,151
dlf city plots phase 2,house,7.5,31686.0,Plot area 215(179.77 sq.m.),2367.0,9,9,3+,4.0,West,Relatively New,,sector 25,,2300.5,,1,1,0,1,0,2,160
sare homes,flat,0.65,4587.0,Carpet area: 1417 (131.64 sq.m.),1417.0,3,3,2,3.0,,Relatively New,N69919756,sector 92,,,1417.0,0,0,0,0,0,0,6
dlf new town heights,flat,1.25,6502.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1929 sq.ft. (179.21 sq.m.)Carpet area: 1928 sq.ft. (179.12 sq.m.),1922.0,3,3,3+,5.0,North,Relatively New,Z69632358,sector 90,1930.0,1929.0,1928.0,0,1,0,1,0,0,127
mapsko royale ville,flat,1.12,6256.0,Super Built up area 1790(166.3 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1790.0,3,3,2,12.0,North-East,Relatively New,L69683142,sector 82,1790.0,,1400.0,0,0,0,1,0,0,49
ansal housing highland park,flat,0.88,6429.0,Super Built up area 1361(126.44 sq.m.),1369.0,2,2,3,3.0,,New Property,E56157708,sector 103,1361.0,,,0,0,0,0,0,0,52
smart world orchard,house,2.01,13000.0,Plot area 1549(143.91 sq.m.),1546.0,3,3,3,4.0,North,Under Construction,,sector 61,,1549.0,,0,0,0,0,0,0,145
tarc maceo,flat,1.75,11121.0,Super Built up area 2724(253.07 sq.m.)Carpet area: 1573.59 sq.ft. (146.19 sq.m.),1574.0,4,3,3+,8.0,South,Relatively New,H65096484,sector 91,2724.0,,1573.59,1,1,1,1,0,0,128
tulip petals,flat,1.55,10000.0,Super Built up area 1550(144 sq.m.),1550.0,3,2,3,6.0,East,Moderately Old,W59037256,sector 89,1550.0,,,0,0,1,0,0,2,111
corona optus,flat,1.27,7203.0,Super Built up area 1763(163.79 sq.m.)Carpet area: 1410 sq.ft. (130.99 sq.m.),1763.0,3,3,3,2.0,South,Relatively New,U70043904,sector 37c,1763.0,,1410.0,1,0,0,0,1,0,49
independent,house,1.5,11538.0,Plot area 1300(120.77 sq.m.),1300.0,10,7,3,4.0,East,Moderately Old,,sector 13,,1300.0,,0,0,0,0,0,0,0
pioneer park,flat,2.1,11666.0,Super Built up area 1800(167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1800.0,3,3,3,15.0,South-East,Relatively New,B69962014,sector 61,1800.0,,1400.0,0,0,0,0,0,2,49
pyramid urban,flat,0.7,11844.0,Carpet area: 591 (54.91 sq.m.),591.0,2,2,1,14.0,North,New Property,K57042012,sector 67,,,591.0,0,0,0,0,0,0,44
mapsko paradise,flat,0.75,5597.0,Super Built up area 1340(124.49 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),1340.0,3,3,3,10.0,North,New Property,G69826630,sector 83,1340.0,,1000.0,0,0,0,0,1,2,49
corona optus,flat,1.25,7090.0,Super Built up area 1763(163.79 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1234 sq.ft. (114.64 sq.m.),1763.0,3,3,3,4.0,North-West,Relatively New,B69870480,sector 37c,1763.0,1350.0,1234.0,0,0,0,0,1,0,49
hero homes,flat,1.75,10361.0,Super Built up area 1689(156.91 sq.m.),1689.0,3,3,3,2.0,,Under Construction,Q68490110,sector 104,1689.0,,,0,0,0,0,0,0,30
signature global park,flat,0.55,6690.0,Carpet area: 822 (76.37 sq.m.),822.0,2,2,3,3.0,East,Undefined,Z68976822,sector 36,,,822.0,0,0,0,0,0,0,58
experion windchants,house,7.99,12519.0,Built Up area: 6382 (592.91 sq.m.),6382.0,4,6,3,2.0,South-East,New Property,,sector 112,,6382.0,,0,1,1,1,0,2,129
independent,house,10.5,43210.0,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 270 sq.yards (225.75 sq.m.),2430.0,12,12,3+,4.0,North-East,Relatively New,,sector 26,,300.0,270.0,0,1,0,1,0,2,72
ramsons kshitij,flat,0.45,4591.0,Super Built up area 980(91.04 sq.m.),980.0,2,2,1,2.0,,Relatively New,V59237402,sector 95,980.0,,,1,0,0,0,0,0,89
paras dews,flat,1.13,6406.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),1764.0,3,4,3+,18.0,North-West,Relatively New,B69431824,sector 106,1760.0,1186.0,1130.0,1,1,0,0,0,0,49
m3m the marina,flat,1.0,12500.0,Carpet area: 800 (74.32 sq.m.),800.0,2,2,3,21.0,,Relatively New,I63440984,sector 68,,,800.0,0,0,0,0,0,0,31
shree vardhman flora,flat,0.92,4717.0,Carpet area: 1950 (181.16 sq.m.),1950.0,3,3,2,6.0,North,Relatively New,B69731600,sector 90,,,1950.0,1,0,0,0,0,2,49
emaar mgf palm hills,flat,1.25,8620.0,Carpet area: 1450 (134.71 sq.m.),1450.0,3,4,3,1.0,West,Relatively New,T69205518,sector 77,,,1450.0,0,1,0,0,0,2,104
dlf the primus,flat,2.55,11218.0,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),2273.0,4,4,3+,14.0,South-West,Relatively New,B69550462,sector 82,2273.0,,1340.0,0,0,0,0,0,1,44
lavanya apartments,flat,0.9,5056.0,Built Up area: 1780 (165.37 sq.m.),1780.0,3,3,0,7.0,,Undefined,L69125934,sector 81,,1780.0,,0,0,0,0,0,0,0
emaar digihomes,flat,3.95,15262.0,Carpet area: 2588 (240.43 sq.m.),2588.0,3,3,3,33.0,East,New Property,W70126434,sector 62,,,2588.0,0,1,0,0,0,2,49
independent,house,3.5,15555.0,Built Up area: 2250 (209.03 sq.m.),2250.0,10,1,0,1.0,,New Property,,sector 11,,2250.0,,0,0,0,0,0,0,0
ansal heights 86,flat,0.87,5367.0,Super Built up area 1360(126.35 sq.m.),1621.0,2,2,1,12.0,North-East,New Property,E43727243,sector 86,1360.0,,,0,0,0,0,1,2,45
alpha corp gurgaonone,flat,1.49,7590.0,Super Built up area 1963(182.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),1963.0,3,3,3,6.0,South-East,Relatively New,A69430888,sector 84,1963.0,,1700.0,0,1,0,0,0,0,28
krisumi waterfall residences,flat,4.1,15500.0,Carpet area: 2538 (235.79 sq.m.),2645.0,3,4,3,30.0,,New Property,N69444154,sector 36a,,,2538.0,1,0,0,0,0,1,49
independent,house,1.9,35185.0,Plot area 60(50.17 sq.m.)Built Up area: 60 sq.yards (50.17 sq.m.),540.0,3,3,3+,3.0,,Old Property,,sector 43,,60.0,,0,0,0,0,0,1,0
imperia the esfera,flat,0.87,5513.0,Super Built up area 1578(146.6 sq.m.),1578.0,2,3,3+,9.0,North-East,New Property,N70027732,sector 37c,1578.0,,,1,0,0,0,0,0,49
supertech araville,flat,1.1,5641.0,Carpet area: 1950 (181.16 sq.m.),1950.0,3,3,3,1.0,,Relatively New,N64363220,sector 79,,,1950.0,0,0,0,0,0,2,106
vatika gurgaon,flat,0.75,6024.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 1020 sq.ft. (94.76 sq.m.),1245.0,2,2,2,19.0,East,Relatively New,Z68690432,sector 83,1245.0,1150.0,1020.0,0,0,0,0,1,2,105
ansal housing highland park,flat,0.8,5878.0,Built Up area: 1361 (126.44 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),1361.0,2,2,2,9.0,South-East,Undefined,E68022102,sector 103,,1361.0,1300.0,0,0,0,0,0,0,0
cloudnine cottages,house,5.5,55000.0,Plot area 1000(92.9 sq.m.),1000.0,3,3,0,1.0,,Moderately Old,,sector 47,,1000.0,,0,0,0,0,0,0,0
independent,house,1.8,10000.0,Plot area 200(167.23 sq.m.),1800.0,4,3,1,1.0,North-East,Old Property,,sector 15,,1800.0,,0,0,0,0,0,0,16
independent,house,3.25,30384.0,Plot area 1069.63(99.37 sq.m.),1070.0,4,4,3,3.0,,Old Property,,sector 24,,1069.63,,0,0,0,0,0,0,15
adani m2k oyster grande,flat,2.4,9305.0,Super Built up area 2579(239.6 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),2579.0,3,4,3+,3.0,North-East,Relatively New,Y69101770,sector 102,2579.0,,2100.0,1,0,0,0,0,2,49
ss the leaf,flat,1.12,6453.0,Super Built up area 1741(161.74 sq.m.)Built Up area: 1485 sq.ft. (137.96 sq.m.)Carpet area: 1335 sq.ft. (124.03 sq.m.),1736.0,2,2,3,10.0,East,Relatively New,J69584972,sector 85,1741.0,1485.0,1335.0,0,0,0,0,1,0,49
experion the heartsong,flat,1.7,8487.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1500.29 sq.ft. (139.38 sq.m.)Carpet area: 1140.98 sq.ft. (106 sq.m.),2003.0,3,4,3+,14.0,South-East,Relatively New,J50076234,sector 108,2003.0,1500.29,1140.98,0,1,0,0,0,0,119
the lions cghs,flat,2.05,7884.0,Built Up area: 2600 (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2600.0,4,4,3+,7.0,West,Old Property,F68681970,sector 56,,2600.0,2400.0,0,0,1,0,0,2,120
ats triumph,flat,1.8,7860.0,Carpet area: 2290 (212.75 sq.m.),2290.0,3,4,3,14.0,,New Property,K68839960,sector 104,,,2290.0,0,0,0,0,0,0,60
dlf the skycourt,flat,1.5,7894.0,Super Built up area 1900(176.52 sq.m.),1900.0,3,3,1,16.0,East,Relatively New,F69422122,sector 86,1900.0,,,0,0,0,0,1,0,49
tulip violet,flat,1.6,10139.0,Super Built up area 1578(146.6 sq.m.),1578.0,3,3,2,0.0,North-West,Relatively New,J69722208,sector 69,1578.0,,,0,0,0,1,0,0,166
emaar mgf emerald floors premier,flat,2.5,15151.0,Super Built up area 1650(153.29 sq.m.),1650.0,3,3,3,3.0,South-West,Relatively New,R69102324,sector 65,1650.0,,,1,1,0,0,0,0,15
ss the leaf,flat,2.0,8305.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),2408.0,3,4,3,6.0,North,Relatively New,S70086988,sector 85,2408.0,2300.0,2200.0,0,1,0,0,0,0,49
gls arawali homes,flat,0.3,5291.0,Built Up area: 567 (52.68 sq.m.),567.0,2,2,0,10.0,,Undefined,W67904444,sector 4,,567.0,,0,0,0,0,0,0,0
ansal sushant lok ci,flat,2.0,15151.0,Carpet area: 1320 (122.63 sq.m.),1320.0,3,3,2,1.0,North,Old Property,V68773394,sector 43,,,1320.0,0,1,0,0,0,1,15
tulip white,flat,0.9,6000.0,Super Built up area 1500(139.35 sq.m.)Built Up area: 1326 sq.ft. (123.19 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),1500.0,3,2,3+,1.0,West,Relatively New,Z69619140,sector 69,1500.0,1326.0,1050.0,0,0,0,0,0,2,149
independent,house,0.53,5888.0,Built Up area: 900 (83.61 sq.m.),900.0,2,2,0,1.0,,Undefined,,sector 7,,900.0,,0,0,0,0,0,0,0
pgr shree kripaluji apartment,flat,1.4,6086.0,Carpet area: 2300 (213.68 sq.m.),2300.0,3,3,3+,8.0,North-East,Relatively New,M69732980,sector 52,,,2300.0,0,0,0,0,0,2,80
independent,house,2.1,35000.0,Carpet area: 600 (55.74 sq.m.),600.0,3,2,1,3.0,,New Property,,sector 70,,,600.0,0,0,0,0,0,0,0
independent,house,0.45,8007.0,Plot area 562(52.21 sq.m.),562.0,3,2,1,1.0,North-East,Old Property,,sector 10,,562.0,,0,0,0,0,0,0,15
sare crescent parc,flat,1.0,5128.0,Carpet area: 1950 (181.16 sq.m.),1950.0,4,3,2,1.0,East,Relatively New,K64895528,sector 92,,,1950.0,0,0,0,0,0,0,49
independent,house,1.45,26852.0,Plot area 60(50.17 sq.m.),540.0,3,3,1,,,Old Property,,sector 24,,540.0,,0,0,0,0,0,0,9
ss the leaf,flat,1.18,10727.0,Super Built up area 1741(161.74 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1100.0,2,2,3,9.0,North-East,Relatively New,H69399868,sector 85,1741.0,1700.0,1100.0,1,0,0,0,0,2,150
umang winter hills,flat,0.71,5305.0,Super Built up area 1342(124.68 sq.m.)Carpet area: 810 sq.ft. (75.25 sq.m.),1338.0,2,2,2,6.0,North-West,Relatively New,K68224474,sector 77,1342.0,,810.0,1,0,0,0,0,0,108
hero homes,flat,1.4,15826.0,Super Built up area 1389(129.04 sq.m.)Carpet area: 884.58 sq.ft. (82.18 sq.m.),885.0,3,2,2,4.0,North,Under Construction,X61172132,sector 104,1389.0,,884.58,0,0,0,0,0,0,49
tulip ivory,flat,2.35,9791.0,Carpet area: 2400 (222.97 sq.m.),2400.0,4,4,3+,8.0,West,Moderately Old,J69769036,sector 70,,,2400.0,0,1,0,0,0,0,108
dlf the ultima,flat,2.12,10080.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),2103.0,3,3,3+,9.0,South,Relatively New,F69198250,sector 81,2103.0,1650.0,1257.0,1,1,0,1,1,1,49
assotech blith,flat,0.92,6739.0,Super Built up area 1365(126.81 sq.m.),1365.0,2,2,3+,22.0,,Under Construction,K68182666,sector 99,1365.0,,,0,0,0,0,0,0,56
vatika gurgaon,flat,0.87,6987.0,Super Built up area 1245(115.66 sq.m.),1245.0,2,2,2,3.0,East,Moderately Old,I66285752,sector 83,1245.0,,,0,0,0,0,0,0,35
dlf regal gardens,flat,1.25,7339.0,Super Built up area 1703(158.21 sq.m.),1703.0,3,3,3,28.0,North,Moderately Old,O68651740,sector 90,1703.0,,,0,1,0,0,0,0,38
independent,house,0.92,15257.0,Plot area 67(56.02 sq.m.),603.0,4,4,3,4.0,East,Moderately Old,,sector 105,,603.0,,0,0,0,0,1,0,0
ramprasta awho,flat,0.92,5257.0,Built Up area: 1750 (162.58 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),1750.0,3,3,3+,13.0,North-East,Undefined,O64571990,sector 95,,1750.0,1600.0,0,0,0,0,0,0,0
ansal api esencia,house,1.85,74000.0,Carpet area: 250 (23.23 sq.m.),250.0,3,3,3,1.0,,Undefined,,sector 67,,,250.0,0,0,0,0,0,0,49
pivotal riddhi siddhi,flat,0.72,947.0,Carpet area: 706,7603.0,2,2,2,12.0,,Relatively New,U69789900,sector 99,,,706.0,0,0,1,0,0,0,31
