society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
godrej meridien,house,5.6,14000.0,Plot area 4000(371.61 sq.m.),4000.0,5.0,4,3+,33.0,North-East,New Property,,sector 106,,4000.0,,1,1,1,1,0,0,151,800.0
signature global rosellia,flat,0.45,8755.0,Carpet area: 514 (47.75 sq.m.),514.0,2.0,2,2,14.0,,New Property,D66371880,sector 95a,,,514.0,0,0,0,0,0,0,24,257.0
independent,house,5.8,12838.0,Plot area 502(419.74 sq.m.),4518.0,4.0,4,3+,4.0,,Old Property,,sector 26,,4518.0,,0,0,0,0,0,0,38,1129.5
avl 36 gurgaon,flat,0.45,9000.0,Super Built up area 500(46.45 sq.m.),500.0,1.0,1,1,9.0,,Relatively New,M70184602,sector 36a,500.0,,,0,0,0,0,0,0,0,500.0
independent,house,0.71,10143.0,Plot area 700(65.03 sq.m.),700.0,2.0,2,1,2.0,,New Property,,sector 14,,700.0,,0,0,0,0,0,0,0,350.0
umang winter hills,flat,1.4,6341.0,Built Up area: 1735 (161.19 sq.m.),2208.0,3.0,3,3,10.0,North-East,Undefined,C68021494,sector 77,,1735.0,,0,0,0,0,0,0,28,736.0
central park 2 bellevue,flat,5.0,11628.0,Carpet area: 4300 (399.48 sq.m.),4300.0,3.0,4,3,14.0,North-East,Moderately Old,I70070186,sector 48,,,4300.0,0,0,0,0,0,0,82,1433.3333333333333
independent,house,3.65,23443.0,Plot area 173(144.65 sq.m.),1557.0,3.0,9,3+,3.0,West,New Property,,sector 2,,1557.0,,0,1,0,1,0,2,116,519.0
ireo the corridors,flat,2.0,11429.0,Super Built up area 1750(162.58 sq.m.),1750.0,3.0,3,3,12.0,,New Property,V19994483,sector 67,1750.0,,,1,0,0,0,0,0,38,583.3333333333334
independent,house,2.1,17284.0,Plot area 135(112.88 sq.m.),1215.0,2.0,6,3+,3.0,,Relatively New,,laxmi garden,,1215.0,,0,0,0,0,0,0,14,607.5
sushant lok 1 builder floors,house,1.95,10078.0,Plot area 215(179.77 sq.m.),1935.0,3.0,4,3+,4.0,West,New Property,,sector 43,,1935.0,,0,1,0,0,0,2,78,645.0
m3m sky lofts,flat,1.0,11494.0,Built Up area: 869 (80.73 sq.m.)Carpet area: 435 sq.ft. (40.41 sq.m.),870.0,1.0,1,1,9.0,,Undefined,D69701036,sector 71,,869.0,435.0,0,0,0,0,0,0,77,870.0
aipl the peaceful homes,flat,2.5,11628.0,Super Built up area 2150(199.74 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2150.0,3.0,3,3+,15.0,North-East,Relatively New,Y69535966,sector 70,2150.0,,1350.0,0,0,0,0,1,2,174,716.6666666666666
unitech espace,house,7.5,34722.0,Plot area 240(200.67 sq.m.)Built Up area: 241 sq.yards (201.51 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),2160.0,3.0,3,2,2.0,West,Moderately Old,,sector 50,,241.0,240.0,0,1,0,0,0,2,66,720.0
independent,house,0.4,8889.0,Plot area 50(41.81 sq.m.),450.0,1.0,1,0,1.0,,Moderately Old,,sector 4,,450.0,,0,0,0,0,0,0,0,450.0
bestech altura,flat,1.72,8000.0,Super Built up area 2150(199.74 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),2150.0,3.0,4,3+,5.0,North-East,Relatively New,Y68282394,sector 79,2150.0,,1300.0,0,1,0,0,0,0,174,716.6666666666666
independent,house,3.75,26042.0,Plot area 160(14.86 sq.m.),1440.0,4.0,4,3,3.0,East,Moderately Old,,sector 54,,160.0,,0,1,0,0,0,2,13,360.0
independent,house,1.2,11194.0,Built Up area: 1072 (99.59 sq.m.),1072.0,2.0,4,2,3.0,,Undefined,,sector 7,,1072.0,,0,0,0,0,0,0,0,536.0
imt view society,flat,0.95,3652.0,Super Built up area 2600(241.55 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),2601.0,3.0,4,3,6.0,South-East,Moderately Old,Y70129276,sector 1,2600.0,,1900.0,0,1,0,0,0,0,81,867.0
supertech araville,flat,0.9,6950.0,Built Up area: 1295 (120.31 sq.m.),1295.0,2.0,2,0,12.0,,Undefined,E68021654,sector 79,,1295.0,,0,0,0,0,0,0,0,647.5
vatika india next,flat,0.8,6426.0,Carpet area: 1245 (115.66 sq.m.),1245.0,2.0,2,3,9.0,,Undefined,P69238064,sector 82,,,1245.0,0,0,0,0,0,0,0,622.5
dlf new town heights,flat,1.55,6557.0,Super Built up area 2364(219.62 sq.m.),2364.0,4.0,4,3+,1.0,South-East,Relatively New,P44401719,sector 90,2364.0,,,0,1,0,1,0,0,81,591.0
m3m heights,flat,2.78,15200.0,Super Built up area 1828(169.83 sq.m.),1829.0,3.0,3,3,44.0,,Undefined,T69537078,sector 65,1828.0,,,0,0,0,0,0,0,56,609.6666666666666
green court,flat,0.5,8333.0,Super Built up area 700(65.03 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),600.0,2.0,2,1,8.0,,New Property,K63168640,sector 90,700.0,,600.0,0,0,0,0,0,0,42,300.0
dlf new town heights,flat,1.55,6579.0,Super Built up area 2356(218.88 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),2356.0,4.0,4,3+,12.0,North-East,Moderately Old,N61446680,sector 86,2356.0,,1750.0,0,1,0,1,0,2,120,589.0
tulip yellow,house,2.95,16389.0,Plot area 200(167.23 sq.m.),1800.0,4.0,3,2,3.0,North,New Property,,sector 69,,1800.0,,0,0,0,1,1,1,111,450.0
m3m latitude,flat,4.6,26791.0,Carpet area: 1717 (159.51 sq.m.),1717.0,3.0,3,3,7.0,South,New Property,C69594442,sector 65,,,1717.0,1,1,1,1,0,0,115,572.3333333333334
m3m sierra 68,flat,1.13,9076.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),1245.0,2.0,2,3,9.0,West,Relatively New,X69526324,sector 68,1245.0,1130.0,930.0,0,0,0,0,0,2,149,622.5
experion windchants,flat,5.6,11551.0,Super Built up area 4848(450.39 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4848.0,4.0,6,3+,8.0,North-East,Relatively New,E68670550,sector 112,4848.0,3655.35,,0,1,0,0,0,2,168,1212.0
bestech park view ananda,flat,1.45,8011.0,Super Built up area 1810(168.15 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1810.0,3.0,3,3,8.0,North,Relatively New,G68629204,sector 81,1810.0,1650.0,1500.0,0,0,0,0,1,2,128,603.3333333333334
corona optus,flat,1.43,7186.0,Super Built up area 1990(184.88 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),1990.0,3.0,3,3+,2.0,North-West,Relatively New,N70044190,sector 37c,1990.0,,1700.0,1,1,0,0,1,0,49,663.3333333333334
independent,house,6.0,33333.0,Plot area 200(167.23 sq.m.),1800.0,3.0,5,3+,3.0,,Old Property,,sector 26,,1800.0,,0,0,0,0,0,2,9,600.0
tulip violet,flat,1.4,8872.0,Super Built up area 1578(146.6 sq.m.),1578.0,3.0,3,2,11.0,North,Relatively New,U68278304,sector 69,1578.0,,,0,0,0,1,0,0,126,526.0
m3m merlin,flat,3.4,14419.0,Super Built up area 2358(219.07 sq.m.)Carpet area: 1708 sq.ft. (158.68 sq.m.),2358.0,3.0,4,3,16.0,North-West,Relatively New,F69941624,sector 67,2358.0,,1708.0,0,1,0,0,0,2,174,786.0
dlf the ultima,flat,2.25,10755.0,Super Built up area 2092(194.35 sq.m.)Built Up area: 2090 sq.ft. (194.17 sq.m.)Carpet area: 2087 sq.ft. (193.89 sq.m.),2092.0,3.0,4,3+,11.0,West,Relatively New,K67331866,sector 81,2092.0,2090.0,2087.0,0,1,0,0,0,1,174,697.3333333333334
tulip violet,flat,1.7,8445.0,Super Built up area 2010(186.74 sq.m.),2013.0,4.0,4,2,7.0,West,Relatively New,F68278536,sector 69,2010.0,,,0,0,0,0,0,0,128,503.25
ss the leaf,flat,1.22,13319.0,Super Built up area 1772(164.62 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 916 sq.ft. (85.1 sq.m.),916.0,2.0,2,3,16.0,North-East,Relatively New,D69748150,sector 85,1772.0,1300.0,916.0,0,0,1,0,0,0,81,458.0
suncity avenue 76,flat,0.55,7422.0,Carpet area: 741 (68.84 sq.m.),741.0,2.0,2,2,9.0,North-East,Under Construction,Q67912486,sector 76,,,741.0,0,0,0,0,0,0,26,370.5
independent,house,4.75,28788.0,Plot area 1600(148.64 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),1650.0,3.0,3,3,2.0,North-West,Moderately Old,,sector 57,,1700.0,1650.0,0,0,1,0,0,2,96,550.0
ansal heights 86,flat,0.74,5441.0,Super Built up area 1360(126.35 sq.m.),1360.0,2.0,2,1,11.0,,Under Construction,K24849431,sector 86,1360.0,,,0,0,0,0,1,0,45,680.0
m3m merlin,flat,2.8,13672.0,Super Built up area 2048(190.27 sq.m.),2048.0,3.0,3,3,2.0,East,Relatively New,K69205204,sector 67,2048.0,,,0,0,1,0,0,1,174,682.6666666666666
independent,house,1.5,10288.0,Plot area 162(135.45 sq.m.)Built Up area: 210 sq.yards (175.59 sq.m.),1458.0,3.0,3,0,,,Old Property,,sector 3,,210.0,,0,0,0,0,0,0,0,486.0
independent,house,1.16,11694.0,Plot area 992(92.16 sq.m.)Carpet area: 992 sq.ft. (92.16 sq.m.),992.0,2.0,4,2,3.0,North-East,Moderately Old,,sector 7,,,992.0,0,0,0,0,1,0,39,496.0
spaze privvy the address,flat,1.25,6898.0,Super Built up area 1805(167.69 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1812.0,3.0,4,2,12.0,North-East,Relatively New,G66828720,sector 93,1805.0,1350.0,1100.0,0,0,0,0,0,2,96,604.0
emaar mgf emerald floors premier,flat,2.8,16970.0,Super Built up area 1650(153.29 sq.m.),1650.0,3.0,3,2,3.0,East,Relatively New,A69640796,sector 65,1650.0,,,0,1,0,0,0,0,105,550.0
trisara our homes 3,flat,0.21,4339.0,Built Up area: 484 (44.97 sq.m.),484.0,1.0,1,0,2.0,,Undefined,O68908920,sector 6,,484.0,,0,0,0,0,0,0,0,484.0
avl 36 gurgaon,flat,0.4,10204.0,Carpet area: 392 (36.42 sq.m.),392.0,1.0,1,1,4.0,West,Relatively New,G69799298,sector 36a,,,392.0,0,0,0,0,0,0,35,392.0
emaar mgf marbella,house,19.0,31667.0,Plot area 9000(836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),6000.0,5.0,6,3+,3.0,North-East,Relatively New,,sector 66,,,6000.0,0,1,1,1,0,2,110,1200.0
orris aster court premier,flat,1.25,5896.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),2120.0,3.0,4,2,6.0,East,Relatively New,F69545814,sector 85,2120.0,1616.0,,0,1,0,0,0,2,49,706.6666666666666
bptp freedom park life,flat,2.5,11111.0,Super Built up area 2250(209.03 sq.m.),2250.0,3.0,3,3,9.0,,Moderately Old,S68706654,sector 57,2250.0,,,0,0,0,0,0,0,55,750.0
paras dews,flat,1.32,5605.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),2355.0,4.0,5,3+,11.0,South-West,Relatively New,Y69429218,sector 106,2355.0,1535.0,1403.0,0,1,0,0,0,0,49,588.75
signature global solera,flat,0.5,7692.0,Super Built up area 546(50.73 sq.m.),650.0,2.0,2,1,11.0,,Relatively New,Z68531202,sector 107,546.0,,,0,0,0,0,0,0,55,325.0
ss the leaf,flat,1.11,6852.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),1620.0,2.0,2,3,8.0,North,Relatively New,U67564566,sector 85,1640.0,1630.0,1620.0,0,0,1,0,0,0,174,810.0
emaar mgf marbella,house,12.0,37037.0,Plot area 360(301.01 sq.m.),3240.0,5.0,5,3+,3.0,East,New Property,,sector 66,,3240.0,,0,1,1,1,0,2,106,648.0
ss the leaf,flat,2.1,8721.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),2408.0,3.0,4,3+,6.0,North,Relatively New,Z69992096,sector 85,2408.0,,1685.0,0,1,0,0,0,0,156,802.6666666666666
unitech espace,house,10.45,32253.0,Plot area 360(301.01 sq.m.),3240.0,5.0,7,3+,3.0,,Moderately Old,,sector 50,,3240.0,,1,1,0,1,1,2,153,648.0
aardhya homesh,flat,1.85,8043.0,Carpet area: 2300 (213.68 sq.m.),2300.0,4.0,4,0,4.0,East,Undefined,A65698542,sector 67,,,2300.0,0,0,0,0,0,0,0,575.0
smart world gems,flat,0.9,8145.0,Built Up area: 1105 (102.66 sq.m.),1105.0,2.0,2,2,1.0,,Undefined,U69383626,sector 89,,1105.0,,0,0,0,0,0,0,45,552.5
project mianwali colony,house,2.0,14815.0,Built Up area: 1350 (125.42 sq.m.),1350.0,5.0,5,2,3.0,East,Undefined,,sector 12,,1350.0,,0,0,0,0,0,0,0,270.0
sapphire eighty three,flat,0.65,9286.0,Built Up area: 700 (65.03 sq.m.),700.0,1.0,1,0,6.0,,Undefined,C68022584,sector 83,,700.0,,0,0,0,0,0,0,0,700.0
vatika lifestyle homes,flat,1.15,6553.0,Super Built up area 1755(163.04 sq.m.),1755.0,3.0,2,3,15.0,,Relatively New,F70184408,sector 83,1755.0,,,0,0,0,0,0,0,37,585.0
orris aster court premier,flat,1.49,5820.0,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.)Carpet area: 1890 sq.ft. (175.59 sq.m.),2560.0,4.0,5,3+,10.0,East,Relatively New,G69158602,sector 85,2560.0,2017.0,1890.0,0,1,0,0,0,2,84,640.0
raheja vedaanta,flat,0.8,4080.0,Super Built up area 1838(170.76 sq.m.),1961.0,3.0,3,3,9.0,North-East,Relatively New,K67112032,sector 108,1838.0,,,0,0,0,1,0,0,174,653.6666666666666
m3m woodshire,flat,1.65,5961.0,Super Built up area 2768(257.16 sq.m.),2768.0,4.0,5,3+,12.0,North-West,Relatively New,I68360600,sector 107,2768.0,,,0,1,0,0,0,0,21,692.0
signature global city,flat,1.1,8494.0,Carpet area: 1295 (120.31 sq.m.),1295.0,3.0,3,2,2.0,North,Under Construction,T69935996,sector 37,,,1295.0,0,0,0,0,0,0,36,431.6666666666667
project housing board colony,house,2.58,17695.0,Carpet area: 1300 (120.77 sq.m.),1458.0,4.0,2,2,2.0,,Undefined,,sector 28,,,1300.0,0,0,0,0,0,0,0,364.5
imperia the esfera,flat,1.4,5385.0,Super Built up area 2600(241.55 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),2600.0,4.0,5,3,9.0,North,Relatively New,X70042654,sector 37c,2600.0,,2100.0,1,1,0,1,1,0,49,650.0
pyramid urban,flat,0.53,8968.0,Carpet area: 591 (54.91 sq.m.),591.0,2.0,2,1,6.0,West,Relatively New,F69850864,sector 67,,,591.0,0,0,0,0,1,2,49,295.5
raheja navodaya,flat,0.85,5407.0,Super Built up area 1572(146.04 sq.m.),1572.0,3.0,3,0,0.0,East,Relatively New,O59506130,sector 92,1572.0,,,0,0,0,0,0,0,88,524.0
independent,house,9.85,29642.0,Plot area 418(349.5 sq.m.),3323.0,5.0,5,2,3.0,West,Old Property,,a block sushant lok phase 1,,418.0,,1,1,0,1,0,0,21,664.6
independent,house,19.5,27083.0,Plot area 800(668.9 sq.m.),7200.0,8.0,9,3+,2.0,North,New Property,,sector 2,,7200.0,,1,1,0,1,0,0,122,900.0
ireo the corridors,flat,2.0,11581.0,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),1727.0,3.0,3,2,6.0,,Under Construction,E58721404,sector 67,1727.0,,1017.0,0,0,0,0,1,0,15,575.6666666666666
sobha city,flat,2.33,14463.0,Built Up area: 1711 (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),1611.0,3.0,3,3,17.0,North-East,Relatively New,U69326196,sector 108,,1711.0,1611.0,0,0,1,0,0,2,159,537.0
ats kocoon,flat,2.22,10597.0,Super Built up area 2095(194.63 sq.m.),2095.0,3.0,3,3,20.0,East,Relatively New,L50048206,sector 109,2095.0,,,0,1,0,0,1,0,79,698.3333333333334
ild greens,flat,0.75,5245.0,Built Up area: 1430 (132.85 sq.m.),1430.0,2.0,2,3+,13.0,East,Undefined,A68021584,sector 37c,,1430.0,,0,0,0,0,0,0,51,715.0
ats marigold,flat,1.7,9714.0,Carpet area: 1750 (162.58 sq.m.),1750.0,3.0,3,3+,8.0,North,Under Construction,F69969730,sector 89,,,1750.0,1,0,0,0,0,0,65,583.3333333333334
shree vardhman victoria,flat,1.6,8205.0,Carpet area: 1950 (181.16 sq.m.),1950.0,3.0,5,3,6.0,West,Relatively New,D69342992,sector 70,,,1950.0,0,1,0,0,0,0,174,650.0
sare homes,flat,1.18,5207.0,Carpet area: 2266 (210.52 sq.m.),2266.0,4.0,4,3,8.0,North,Relatively New,K69810986,sector 92,,,2266.0,0,1,0,0,0,0,108,566.5
ardee city,flat,1.55,7381.0,Built Up area: 2100 (195.1 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),2100.0,4.0,4,3,1.0,,Moderately Old,Y68863904,sector 52,,2100.0,1600.0,0,0,0,0,0,0,0,525.0
ace palm floors,flat,0.97,7861.0,Carpet area: 1234 (114.64 sq.m.),1234.0,2.0,2,2,1.0,,New Property,R69427524,sector 89,,,1234.0,1,0,0,0,0,0,28,617.0
independent,house,0.8,8155.0,Plot area 109(91.14 sq.m.),981.0,2.0,4,1,2.0,,Moderately Old,,sector 3,,981.0,,0,0,0,0,0,0,0,490.5
independent,house,1.85,16003.0,Carpet area: 1156 (107.4 sq.m.),1156.0,4.0,3,2,3.0,,Undefined,,sector 1,,,1156.0,0,0,0,0,0,0,0,289.0
bestech park view grand spa,flat,2.22,8346.0,Super Built up area 2660(247.12 sq.m.),2660.0,3.0,4,3+,15.0,South-East,Relatively New,Z68363354,sector 81,2660.0,,,0,1,0,0,0,2,174,886.6666666666666
ansal heights 86,flat,0.78,5735.0,Built Up area: 1360 (126.35 sq.m.),1360.0,2.0,2,2,8.0,North,New Property,K57098890,sector 86,,1360.0,,0,0,0,0,0,0,72,680.0
indiabulls centrum park,flat,1.9,5682.0,Carpet area: 3344 (310.67 sq.m.),3344.0,3.0,4,3+,10.0,North-East,Relatively New,D69120526,sector 103,,,3344.0,1,1,0,1,1,2,49,1114.6666666666667
emaar palm gardens,flat,1.48,7789.0,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),1900.0,3.0,3,3,7.0,East,Relatively New,J56394836,sector 83,1900.0,,1240.04,0,1,0,0,0,0,66,633.3333333333334
brisk lumbini terrace homes,flat,1.38,6339.0,Carpet area: 2177 (202.25 sq.m.),2177.0,3.0,3,1,4.0,,Moderately Old,F68641358,sector 109,,,2177.0,0,0,0,0,0,0,20,725.6666666666666
ats tourmaline,flat,2.25,8704.0,Super Built up area 2585(240.15 sq.m.),2585.0,3.0,4,3,14.0,North-East,Relatively New,T69512220,sector 109,2585.0,,,0,1,0,0,0,0,101,861.6666666666666
emaar mgf palm hills,flat,1.5,12744.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),1177.0,3.0,3,3,4.0,North-East,Relatively New,R68567906,sector 77,1450.0,,1177.0,0,0,0,0,0,2,97,392.3333333333333
bestech altura,flat,2.69,12500.0,Super Built up area 2150(199.74 sq.m.),2152.0,3.0,4,3+,3.0,,New Property,M69582218,sector 79,2150.0,,,0,1,0,0,0,0,49,717.3333333333334
imperia the esfera,flat,0.86,4886.0,Super Built up area 1760(163.51 sq.m.),1760.0,3.0,3,2,0.0,,New Property,K42207359,sector 37c,1760.0,,,0,0,0,0,1,0,35,586.6666666666666
independent,house,0.99,17188.0,Plot area 64(53.51 sq.m.),576.0,1.0,4,3,4.0,,Relatively New,,sector 47,,576.0,,0,0,0,0,0,0,13,576.0
m3m latitude,flat,4.7,19748.0,Super Built up area 2380(221.11 sq.m.)Carpet area: 1231 sq.ft. (114.36 sq.m.),2380.0,3.0,3,3+,9.0,North-East,Relatively New,Y69570676,sector 65,2380.0,,1231.0,0,1,0,1,0,2,44,793.3333333333334
ss the leaf,flat,1.78,7392.0,Super Built up area 2408(223.71 sq.m.),2408.0,3.0,4,3+,6.0,West,New Property,U66846626,sector 85,2408.0,,,0,0,1,0,0,0,113,802.6666666666666
international city by sobha phase 1,house,5.75,16429.0,Plot area 272(25.27 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),3500.0,4.0,4,2,3.0,South-East,Relatively New,,sector 109,,4800.0,3500.0,0,1,0,0,0,0,146,875.0
not applicable,house,0.4,9259.0,Plot area 432(40.13 sq.m.),432.0,1.0,1,1,1.0,,Moderately Old,,sector 4,,432.0,,0,0,0,0,0,0,0,432.0
experion windchants,flat,3.75,13383.0,Super Built up area 2802(260.31 sq.m.),2802.0,3.0,5,3+,22.0,South-West,Relatively New,T70109814,sector 112,2802.0,,,0,1,0,0,0,2,49,934.0
krisumi waterfall residences,flat,3.65,14381.0,Super Built up area 2538(235.79 sq.m.),2538.0,3.0,3,2,17.0,East,New Property,I69706594,sector 36a,2538.0,,,0,0,0,0,0,0,31,846.0
independent,house,1.2,10118.0,Plot area 1185.51(110.14 sq.m.),1186.0,3.0,2,1,2.0,North-West,Old Property,,sector 105,,1185.51,,0,0,0,0,0,0,9,395.3333333333333
ambience creacions,flat,2.4,17391.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),1380.0,2.0,2,2,8.0,South-East,Relatively New,L69915070,sector 22,1380.0,1200.0,900.0,0,0,0,0,1,1,112,690.0
ansal heights 86,flat,1.05,5541.0,Super Built up area 1895(176.05 sq.m.),1895.0,3.0,3,3,9.0,North-East,Under Construction,D26586124,sector 86,1895.0,,,0,1,0,0,0,0,0,631.6666666666666
bptp terra,flat,1.8,8215.0,Super Built up area 2191(203.55 sq.m.)Carpet area: 1860 sq.ft. (172.8 sq.m.),2191.0,4.0,3,3,18.0,North-West,Relatively New,P70022016,sector 37,2191.0,,1860.0,1,1,0,1,0,0,49,547.75
sai kripa floors 5,house,0.9,11250.0,Plot area 800(74.32 sq.m.),800.0,2.0,5,3,3.0,,Relatively New,,sector 11,,800.0,,0,0,0,0,0,0,0,400.0
dhoot time residency,flat,2.2,12813.0,Super Built up area 1717(159.51 sq.m.),1717.0,3.0,4,3+,8.0,North-West,Moderately Old,K68428438,sector 63,1717.0,,,1,0,0,0,0,2,61,572.3333333333334
ss the leaf,flat,1.25,7180.0,Super Built up area 1741(161.74 sq.m.)Built Up area: 1730 sq.ft. (160.72 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),1741.0,2.0,2,3,10.0,South-East,Relatively New,J70085886,sector 85,1741.0,1730.0,1720.0,0,0,0,0,0,0,49,870.5
sobha city,flat,2.6,15196.0,Super Built up area 1711(158.96 sq.m.),1711.0,3.0,3,2,8.0,East,Relatively New,Z69513374,sector 108,1711.0,,,0,0,0,0,0,0,99,570.3333333333334
bestech park view grand spa,flat,2.4,9023.0,Super Built up area 2660(247.12 sq.m.),2660.0,3.0,4,3+,8.0,North,New Property,T69329376,sector 81,2660.0,,,1,1,0,0,0,2,167,886.6666666666666
earth copia,flat,0.7,4673.0,Built Up area: 1498 (139.17 sq.m.),1498.0,2.0,2,2,4.0,East,Relatively New,F27383885,sector 112,,1498.0,,0,0,0,0,0,0,65,749.0
independent,house,10.5,32407.0,Plot area 360(301.01 sq.m.),3240.0,5.0,6,3+,3.0,,New Property,,sector 28,,3240.0,,1,1,0,1,0,2,153,648.0
independent,house,0.8,11852.0,Plot area 75(62.71 sq.m.),675.0,2.0,3,1,2.0,,Moderately Old,,sector 4,,675.0,,0,0,0,0,0,0,0,337.5
bptp astaire gardens,flat,1.7,8947.0,Carpet area: 1900 (176.52 sq.m.),1900.0,4.0,3,3,1.0,North-East,Relatively New,F64840030,sector 70,,,1900.0,0,0,0,0,0,2,49,475.0
whiteland blissville,flat,1.9,11364.0,Super Built up area 1672(155.33 sq.m.),1672.0,3.0,3,2,0.0,,Under Construction,N67620566,sector 76,1672.0,,,0,0,0,0,0,0,61,557.3333333333334
m3m ikonic,flat,1.78,9128.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1845 sq.ft. (171.41 sq.m.)Carpet area: 1530 sq.ft. (142.14 sq.m.),1950.0,3.0,3,3+,27.0,South,Relatively New,H69523902,sector 68,1950.0,1845.0,1530.0,0,0,0,0,0,2,126,650.0
independent,house,10.0,13583.0,Plot area 900(83.61 sq.m.),7362.0,4.0,4,3+,1.0,North-East,Undefined,,sector 1,,900.0,,0,1,0,0,0,0,12,1840.5
sare homes,flat,0.8,4695.0,Carpet area: 1704 (158.31 sq.m.),1704.0,4.0,4,3,1.0,North-East,Moderately Old,K67714330,sector 92,,,1704.0,0,0,0,0,0,0,77,426.0
signature global the millennia,flat,0.55,9167.0,Super Built up area 850(78.97 sq.m.)Built Up area: 610 sq.ft. (56.67 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),600.0,2.0,2,3,3.0,,New Property,Y56040354,sector 37,850.0,610.0,600.0,0,0,0,0,0,0,71,300.0
shree vardhman victoria,flat,1.65,8462.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1950.0,3.0,5,3,6.0,North-East,Relatively New,G69691402,sector 70,1950.0,,1161.0,0,1,0,1,0,0,167,650.0
independent,house,9.0,33333.0,Plot area 300(250.84 sq.m.),2700.0,5.0,5,3,3.0,North,Old Property,,sector 25,,2700.0,,1,1,1,1,0,0,56,540.0
independent,house,3.5,32407.0,Plot area 120(100.34 sq.m.),1080.0,2.0,4,3,3.0,North-West,Old Property,,sector 24,,1080.0,,0,0,0,0,0,0,15,540.0
vatika emilia floors,flat,0.6,5714.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 990 sq.ft. (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),1050.0,2.0,2,2,1.0,South,Relatively New,U69339966,sector 83,1050.0,990.0,950.0,0,0,0,0,0,2,167,525.0
shapoorji pallonji joyville gurugram,flat,0.95,10383.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 858 sq.ft. (79.71 sq.m.),915.0,2.0,2,2,14.0,North-West,Undefined,F69078840,sector 102,,915.0,858.0,0,0,0,0,0,0,0,457.5
krisumi waterfall residences,flat,2.2,14875.0,Super Built up area 1479(137.4 sq.m.),1479.0,2.0,2,2,23.0,North,New Property,S69611606,sector 36a,1479.0,,,0,0,0,0,0,0,15,739.5
godrej summit premia towers,flat,0.9,7149.0,Built Up area: 1259 (116.96 sq.m.),1259.0,2.0,2,0,16.0,,Undefined,A68564086,sector 104,,1259.0,,0,0,0,0,0,0,0,629.5
