society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
ramprastha the edge towers,flat,0.98,5537.0,Super Built up area 1770(164.44 sq.m.)Built Up area: 1675 sq.ft. (155.61 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1770.0,3.0,3,3+,5.0,North-East,Relatively New,E61449810,sector 37,1770.0,1675.0,1400.0,0,0,0,1,0,0,174,590.0
bestech spa signature,flat,4.4,12571.0,Super Built up area 4200(390.19 sq.m.)Built Up area: 3700 sq.ft. (343.74 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),3500.0,4.0,4,3+,6.0,South-West,New Property,E69200950,sector 81,4200.0,3700.0,3500.0,1,1,0,1,1,1,49,875.0
chd avenue,flat,1.1,6790.0,Super Built up area 1620(150.5 sq.m.),1620.0,3.0,3,3,11.0,,Relatively New,L44903927,sector 71,1620.0,,,0,0,0,0,1,0,72,540.0
puri the aravallis,flat,3.9,33220.0,Carpet area: 1249.65 (116.1 sq.m.),1174.0,3.0,4,3+,33.0,South,Under Construction,D69436810,sector 61,,,1249.68879,0,1,0,0,0,0,158,391.3333333333333
today callidora,flat,0.9,5549.0,Built Up area: 1622 (150.69 sq.m.),1622.0,3.0,3,3,3.0,East,Under Construction,V39994101,sector 73,,1622.0,,0,1,0,0,0,0,63,540.6666666666666
emaar digihomes,flat,4.25,26562.0,Carpet area: 1600 (148.64 sq.m.),1600.0,3.0,3,3,8.0,,Under Construction,J68201818,sector 62,,,1600.0,1,0,0,0,0,0,16,533.3333333333334
sare crescent parc,flat,0.82,5384.0,Built Up area: 1523 (141.49 sq.m.),1523.0,3.0,3,3+,12.0,West,Undefined,T68022426,sector 92,,1523.0,,0,0,0,0,0,0,0,507.6666666666667
tulip violet,flat,1.4,8917.0,Super Built up area 1568(145.67 sq.m.),1570.0,3.0,3,1,12.0,East,Relatively New,D69354824,sector 69,1568.0,,,0,0,0,1,0,0,86,523.3333333333334
vatika city homes,flat,1.0,5747.0,Super Built up area 1740(161.65 sq.m.),1740.0,3.0,3,2,2.0,South-East,Relatively New,W69591392,sector 83,1740.0,,,0,0,1,0,0,2,174,580.0
palam vihar extension west zone rwa,house,0.35,6481.0,Plot area 600(55.74 sq.m.)Carpet area: 540 sq.ft. (50.17 sq.m.),540.0,2.0,2,0,1.0,North-East,New Property,,sector 110,,,540.0,0,0,0,0,0,0,0,270.0
shapoorji pallonji joyville gurugram,flat,0.95,10383.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),915.0,2.0,2,2,14.0,,Undefined,P69078414,sector 102,,915.0,675.0,0,0,0,0,0,0,0,457.5
smart world gems,flat,1.16,10498.0,Super Built up area 1103(102.47 sq.m.),1105.0,3.0,2,3,1.0,,New Property,P69352646,sector 89,1103.0,,,1,0,0,0,0,0,49,368.3333333333333
emaar mgf the palm drive,flat,1.51,15130.0,Super Built up area 1200(111.48 sq.m.)Built Up area: 1188 sq.ft. (110.37 sq.m.)Carpet area: 998 sq.ft. (92.72 sq.m.),998.0,2.0,2,2,5.0,North,Relatively New,C69770156,sector 66,1200.0,1188.0,998.0,0,0,0,1,0,2,82,499.0
ramprastha skyz,flat,1.25,7251.0,Built Up area: 1725 (160.26 sq.m.),1724.0,3.0,3,3+,2.0,North-East,Under Construction,R68021756,sector 37,,1725.0,,0,0,0,0,0,0,8,574.6666666666666
alpha corp gurgaonone,flat,0.85,6693.0,Super Built up area 1270(117.99 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),1270.0,2.0,2,3,6.0,West,Relatively New,I69430670,sector 84,1270.0,,1050.0,0,0,0,0,0,2,28,635.0
the lions cghs,flat,2.0,8333.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),2400.0,4.0,4,3,8.0,West,Relatively New,O69575176,sector 56,2400.0,,2100.0,0,0,0,0,1,2,49,600.0
m3m soulitude,flat,1.42,9979.0,Carpet area: 1423 (132.2 sq.m.),1423.0,3.0,3,2,3.0,,New Property,F69673370,sector 89,,,1423.0,0,0,0,0,0,0,15,474.3333333333333
independent,house,10.0,30864.0,Plot area 360(301.01 sq.m.),3240.0,6.0,6,3+,4.0,North-East,Moderately Old,,sector 45,,3240.0,,1,1,1,1,0,2,70,540.0
tulip violet,flat,1.9,9453.0,Super Built up area 2010(186.74 sq.m.),2010.0,4.0,4,2,0.0,South-West,Relatively New,C69393158,sector 69,2010.0,,,0,0,0,0,0,0,49,502.5
sonata group housing gh 24,flat,1.65,5893.0,Carpet area: 2800 (260.13 sq.m.),2800.0,4.0,3,3,8.0,,New Property,P68194060,sector 1,,,2800.0,0,1,0,0,0,0,20,700.0
m3m soulitude,flat,1.32,16923.0,Carpet area: 780 (72.46 sq.m.),780.0,3.0,3,3,1.0,,Under Construction,M68320998,sector 89,,,780.0,0,0,0,0,0,0,45,260.0
satya the hermitage,flat,0.93,6405.0,Carpet area: 1452 (134.9 sq.m.),1452.0,2.0,3,3,3.0,East,Relatively New,G61210394,sector 103,,,1452.0,0,1,0,0,0,2,90,726.0
